Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
BAJAJHFL,NSE:BAJAJHFL,180,PURE FIRST BREAK,0,03-02-2026,08-04-2026,98,87.46,86.51,1.09,10%,"177,012,129"
BIRLACORPN,NSE:BIRLACORPN,180,PURE FIRST BREAK,0,10-02-2026,08-04-2026,98,1018.9,980.49,3.92,10%,"719,461,610"
OSWALPUMPS,NSE:OSWALPUMPS,180,PURE FIRST BREAK,0,16-01-2026,08-04-2026,97,401.25,383.19,4.71,10%,"109,936,481"
ROSSARI,NSE:ROSSARI,180,PURE FIRST BREAK,0,30-01-2026,16-04-2026,89,527.45,517.5,1.92,10%,"52,659,027"
BAJAJHLDNG,NSE:BAJAJHLDNG,180,PURE FIRST BREAK,0,23-02-2026,17-04-2026,88,10486.0,10350.32,1.31,10%,"304,953,852"
FEDFINA,NSE:FEDFINA,180,PURE FIRST BREAK,0,16-01-2026,17-04-2026,88,154.85,152.39,1.61,10%,"123,507,281"
IIFLCAPS,NSE:IIFLCAPS,180,PURE FIRST BREAK,0,16-01-2026,21-04-2026,84,338.1,329.56,2.59,10%,"35,932,931"
TEAMLEASE,NSE:TEAMLEASE,180,PURE FIRST BREAK,0,04-02-2026,05-05-2026,70,1397.8,1347.38,3.74,10%,"63,678,179"
SRF,NSE:SRF,180,PURE FIRST BREAK,0,03-02-2026,06-05-2026,69,2744.9,2669.36,2.83,10%,"1,089,881,721"
VAIBHAVGBL,NSE:VAIBHAVGBL,180,PURE FIRST BREAK,0,03-02-2026,15-06-2026,29,251.17,239.57,4.84,10%,"83,080,254"
SAFARI,NSE:SAFARI,180,PURE FIRST BREAK,0,10-02-2026,17-06-2026,27,1665.8,1639.77,1.59,10%,"32,701,321"
SCODATUBES,NSE:SCODATUBES,180,PURE FIRST BREAK,0,11-05-2026,17-06-2026,27,153.43,142.16,7.93,10%,"16,656,207"
DYCL,NSE:DYCL,180,PURE FIRST BREAK,0,08-05-2026,18-06-2026,26,390.85,378.05,3.38,10%,"3,721,273,919"
MAHLIFE,NSE:MAHLIFE,180,PURE FIRST BREAK,0,03-02-2026,18-06-2026,26,372.4,348.98,6.71,10%,"45,904,630"
KSB,NSE:KSB,180,PURE FIRST BREAK,0,28-04-2026,19-06-2026,25,922.25,904.46,1.97,10%,"54,614,723"
GLAXO,NSE:GLAXO,180,PURE FIRST BREAK,0,11-02-2026,22-06-2026,22,2463.4,2355.32,4.59,10%,"460,434,076"
NHPC,NSE:NHPC,180,PURE FIRST BREAK,0,29-04-2026,22-06-2026,23,79.09,78.18,1.16,10%,"505,630,097"
MIRZAINT,NSE:MIRZAINT,180,PURE FIRST BREAK,0,03-02-2026,25-06-2026,19,37.61,36.48,3.1,10%,"17,031,087"
LLOYDSME,NSE:LLOYDSME,180,PURE FIRST BREAK,0,27-05-2026,29-06-2026,15,1825.5,1807.74,0.98,10%,"581,852,568"
ABREL,NSE:ABREL,180,PURE FIRST BREAK,0,07-05-2026,01-07-2026,13,1422.5,1369.96,3.83,10%,"148,224,500"
PRICOLLTD,NSE:PRICOLLTD,180,PURE FIRST BREAK,0,15-05-2026,01-07-2026,13,616.6,611.85,0.78,10%,"335,603,035"
BEML,NSE:BEML,180,PURE FIRST BREAK,0,08-05-2026,02-07-2026,13,1845.0,1843.86,0.06,10%,"212,119,650"
CANTABIL,NSE:CANTABIL,180,PURE FIRST BREAK,0,06-02-2026,02-07-2026,12,262.52,257.4,1.99,10%,"214,382,224"
GENUSPOWER,NSE:GENUSPOWER,180,PURE FIRST BREAK,0,24-06-2026,02-07-2026,13,315.6,313.42,0.7,10%,"428,836,026"
INDIAGLYCO,NSE:INDIAGLYCO,180,PURE FIRST BREAK,0,08-05-2026,02-07-2026,12,1102.65,1062.32,3.8,10%,"297,597,523"
HDFCBANK,NSE:HDFCBANK,180,PURE FIRST BREAK,0,03-02-2026,03-07-2026,12,815.45,802.19,1.65,10%,"17,522,992,480"
