Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
DEEPINDS,NSE:DEEPINDS,52,PURE FIRST BREAK,0,01-09-2025,06-04-2026,9,495.4,469.85,5.44,10%,"635,131,030"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,9,435.8,429.72,1.42,10%,"34,976,435"
LT,NSE:LT,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,9,4049.3,3960.47,2.24,10%,"42,552,996,853"
LLOYDS,NSE:LLOYDS,52,PURE FIRST BREAK,0,14-07-2025,13-04-2026,8,79.9,74.85,6.74,10%,"17,737,800"
VENUSPIPES,NSE:VENUSPIPES,52,PURE FIRST BREAK,0,21-07-2025,13-04-2026,8,1414.3,1311.75,7.82,10%,"289,773,108"
AYMSYNTEX,NSE:AYMSYNTEX,52,PURE FIRST BREAK,0,16-06-2025,20-04-2026,7,224.03,212.32,5.52,10%,"22,803,566"
BALRAMCHIN,NSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,7,539.95,516.23,4.59,10%,"2,293,666,616"
BHAGCHEM,NSE:BHAGCHEM,52,PURE FIRST BREAK,0,28-07-2025,20-04-2026,7,270.04,247.2,9.24,10%,"231,405,655"
JSFB,NSE:JSFB,52,PURE FIRST BREAK,0,23-06-2025,20-04-2026,7,479.75,458.02,4.74,10%,"898,784,279"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,7,514.15,497.06,3.44,10%,"156,793,135"
WEBELSOLAR,NSE:WEBELSOLAR,52,PURE FIRST BREAK,0,11-08-2025,20-04-2026,7,103.63,101.71,1.89,10%,"1,355,648,659"
FLUOROCHEM,NSE:FLUOROCHEM,52,PURE FIRST BREAK,0,22-09-2025,27-04-2026,6,3655.3,3618.28,1.02,10%,"1,099,759,160"
MIDHANI,NSE:MIDHANI,52,PURE FIRST BREAK,0,23-06-2025,27-04-2026,6,435.1,396.88,9.63,10%,"4,009,011,456"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,5,2747.4,2618.38,4.93,10%,"16,277,847,142"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,5,990.35,946.5,4.63,10%,"9,587,619,708"
IIFLCAPS,NSE:IIFLCAPS,52,PURE FIRST BREAK,0,05-01-2026,04-05-2026,5,342.0,341.68,0.09,10%,"1,268,456,112"
KANSAINER,NSE:KANSAINER,52,PURE FIRST BREAK,0,22-12-2025,04-05-2026,5,216.5,214.13,1.11,10%,"431,689,526"
LALPATHLAB,NSE:LALPATHLAB,52,PURE FIRST BREAK,0,15-09-2025,04-05-2026,5,1601.5,1552.27,3.17,10%,"1,946,037,101"
NEULANDLAB,NSE:NEULANDLAB,52,PURE FIRST BREAK,0,10-11-2025,04-05-2026,5,17198.0,16320.12,5.38,10%,"2,861,764,398"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,5,226.92,215.37,5.36,10%,"380,001,590"
HESTERBIO,NSE:HESTERBIO,52,PURE FIRST BREAK,0,04-08-2025,18-05-2026,3,1952.9,1899.07,2.83,10%,"51,398,376"
KDDL,NSE:KDDL,52,PURE FIRST BREAK,0,16-06-2025,18-05-2026,3,2869.3,2732.95,4.99,10%,"329,094,369"
SAMMAANCAP,NSE:SAMMAANCAP,52,PURE FIRST BREAK,0,03-11-2025,18-05-2026,3,174.42,161.92,7.72,10%,"12,092,375,390"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,2,152.98,145.76,4.95,10%,"110,233,407"
DIAMONDYD,NSE:DIAMONDYD,52,PURE FIRST BREAK,0,29-12-2025,25-05-2026,2,1129.4,1108.6,1.88,10%,"85,229,043"
EXIDEIND,NSE:EXIDEIND,52,PURE FIRST BREAK,0,08-09-2025,25-05-2026,2,391.95,373.02,5.08,10%,"2,598,140,211"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,2,15759.0,15269.58,3.21,10%,"101,976,489"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,2,339.95,328.45,3.5,10%,"170,696,040"
RBA,NSE:RBA,52,PURE FIRST BREAK,0,15-09-2025,25-05-2026,2,68.85,68.41,0.64,10%,"898,461,222"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,2,97.82,97.31,0.52,10%,"43,122,577"
STOVEKRAFT,NSE:STOVEKRAFT,52,PURE FIRST BREAK,0,03-11-2025,25-05-2026,2,655.95,597.89,9.71,10%,"711,293,171"
DBOL,NSE:DBOL,104,PURE FIRST BREAK,0,23-09-2024,30-03-2026,10,115.2,110.92,3.86,10%,"22,941,273"
HARDWYN,NSE:HARDWYN,104,PURE FIRST BREAK,0,23-09-2024,06-04-2026,9,23.83,22.32,6.75,10%,"451,936,663"
SUPREMEPWR,NSE:SUPREMEPWR,104,PURE FIRST BREAK,0,01-07-2024,27-04-2026,6,238.5,229.8,3.79,10%,"46,149,750"
ASHIANA,NSE:ASHIANA,104,PURE FIRST BREAK,0,17-06-2024,04-05-2026,5,359.95,353.96,1.69,10%,"137,012,812"
MSPL,NSE:MSPL,104,PURE FIRST BREAK,0,23-09-2024,04-05-2026,5,41.47,38.53,7.62,10%,"1,133,771,338"
TRITURBINE,NSE:TRITURBINE,104,PURE FIRST BREAK,0,25-11-2024,18-05-2026,3,671.2,655.87,2.34,10%,"1,601,587,936"
MARKSANS,NSE:MARKSANS,104,PURE FIRST BREAK,0,02-12-2024,25-05-2026,2,252.37,233.96,7.87,10%,"4,622,960,259"
STEELXIND,NSE:STEELXIND,104,PURE FIRST BREAK,0,29-07-2024,25-05-2026,2,11.49,11.39,0.85,10%,"292,620,616"
VINDHYATEL,NSE:VINDHYATEL,104,PURE FIRST BREAK,0,29-07-2024,25-05-2026,2,2087.8,1923.32,8.55,10%,"1,017,432,983"
SIS,NSE:SIS,156,PURE FIRST BREAK,0,22-01-2024,04-05-2026,5,421.15,383.8,9.73,10%,"389,849,705"
ADANIENT,NSE:ADANIENT,156,PURE FIRST BREAK,0,03-06-2024,11-05-2026,4,2920.29,2686.06,8.72,10%,"24,808,695,533"
