Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
FAST,NASDAQ:FAST,52,PURE FIRST BREAK,0,25-08-2025,02-02-2026,18,46.03,45.24,1.75,10%,"945,230,582"
LLYVK,NASDAQ:LLYVK,52,PURE FIRST BREAK,0,08-09-2025,09-02-2026,17,99.53,94.06,5.81,10%,"108,762,302"
DTIL,NASDAQ:DTIL,52,PURE FIRST BREAK,0,27-10-2025,09-03-2026,13,6.45,6.38,1.07,10%,"11,091,600"
SBAC,NASDAQ:SBAC,52,PURE FIRST BREAK,0,21-07-2025,30-03-2026,10,207.33,203.61,1.83,10%,"508,516,637"
ANGL,NASDAQ:ANGL,52,PURE FIRST BREAK,0,16-02-2026,06-04-2026,9,28.92,28.85,0.24,10%,"38,218,272"
FALN,NASDAQ:FALN,52,PURE FIRST BREAK,0,16-02-2026,06-04-2026,9,26.89,26.76,0.48,10%,"91,340,920"
RAPP,NASDAQ:RAPP,52,PURE FIRST BREAK,0,08-09-2025,06-04-2026,9,35.21,34.49,2.08,10%,"26,201,274"
TOWN,NASDAQ:TOWN,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,35.04,34.59,1.3,10%,"51,908,047"
UBSI,NASDAQ:UBSI,52,PURE FIRST BREAK,0,02-02-2026,06-04-2026,9,44.88,43.35,3.52,10%,"123,658,495"
GBDC,NASDAQ:GBDC,52,PURE FIRST BREAK,0,14-07-2025,13-04-2026,8,13.21,13.19,0.13,10%,"30,038,563"
NGNE,NASDAQ:NGNE,52,PURE FIRST BREAK,0,13-10-2025,13-04-2026,8,28.01,26.6,5.32,10%,"26,700,113"
VC,NASDAQ:VC,52,PURE FIRST BREAK,0,08-09-2025,20-04-2026,7,117.7,107.13,9.86,10%,"146,422,798"
SWKS,NASDAQ:SWKS,52,PURE FIRST BREAK,0,27-10-2025,27-04-2026,6,70.29,67.66,3.89,10%,"1,106,358,851"
OMDA,NASDAQ:OMDA,52,PURE FIRST BREAK,0,27-10-2025,11-05-2026,4,17.1,16.46,3.9,10%,"56,531,729"
CLSK,NASDAQ:CLSK,52,PURE FIRST BREAK,0,13-10-2025,18-05-2026,3,14.9,14.78,0.8,10%,"994,160,695"
SEPN,NASDAQ:SEPN,52,PURE FIRST BREAK,0,23-02-2026,18-05-2026,3,30.47,28.48,7.0,10%,"23,533,717"
TENB,NASDAQ:TENB,52,PURE FIRST BREAK,0,07-07-2025,18-05-2026,3,26.8,25.35,5.71,10%,"257,558,498"
BLFS,NASDAQ:BLFS,52,PURE FIRST BREAK,0,20-10-2025,25-05-2026,2,26.66,24.71,7.87,10%,"42,490,201"
BTDR,NASDAQ:BTDR,52,PURE FIRST BREAK,0,13-10-2025,25-05-2026,2,16.1,15.4,4.52,10%,"581,928,412"
ELIL,NASDAQ:ELIL,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,2,28.36,25.98,9.16,10%,"11,220,804"
MDB,NASDAQ:MDB,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,2,348.28,340.63,2.24,10%,"1,762,933,450"
NEO,NASDAQ:NEO,52,PURE FIRST BREAK,0,12-01-2026,25-05-2026,2,11.28,10.47,7.77,10%,"60,188,669"
THRM,NASDAQ:THRM,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,2,35.06,33.45,4.82,10%,"31,870,803"
XRX,NASDAQ:XRX,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,2,3.24,3.18,1.94,10%,"45,300,452"
ANNX,NASDAQ:ANNX,104,PURE FIRST BREAK,0,14-10-2024,17-11-2025,29,4.72,4.6,2.66,10%,"43,109,240"
NEOG,NASDAQ:NEOG,104,PURE FIRST BREAK,0,29-07-2024,05-01-2026,22,9.17,8.42,8.88,10%,"49,066,717"
MRNA,NASDAQ:MRNA,104,PURE FIRST BREAK,0,10-06-2024,12-01-2026,21,45.99,43.24,6.37,10%,"607,599,529"
JBSS,NASDAQ:JBSS,104,PURE FIRST BREAK,0,29-07-2024,26-01-2026,19,77.95,75.42,3.35,10%,"25,701,673"
VNOM,NASDAQ:VNOM,104,PURE FIRST BREAK,0,25-11-2024,26-01-2026,19,44.78,42.35,5.74,10%,"281,882,838"
TECX,NASDAQ:TECX,104,PURE FIRST BREAK,0,27-01-2025,02-03-2026,14,28.05,26.91,4.23,10%,"12,433,667"
OLPX,NASDAQ:OLPX,104,PURE FIRST BREAK,0,16-09-2024,23-03-2026,11,2.04,1.86,9.78,10%,"26,798,806"
IAC,NASDAQ:IAC,104,PURE FIRST BREAK,0,23-09-2024,06-04-2026,9,42.27,41.03,3.03,10%,"112,046,189"
