Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
EICHERMOT,NSE:EICHERMOT,DAILY,180d,7250.0,7110.77,1.96,60083.4,07-04-2026,6442.0,86,6
HEROMOTOCO,NSE:HEROMOTOCO,DAILY,180d,4867.1,4831.46,0.74,37765.1,02-06-2026,4747.1,30,2
SAGILITY,NSE:SAGILITY,DAILY,180d,41.25,40.5,1.86,27864.6,23-03-2026,35.83,101,20
SWIGGY,NSE:SWIGGY,DAILY,180d,249.0,245.95,1.24,26718.9,02-06-2026,244.5,30,4
COALINDIA,NSE:COALINDIA,DAILY,180d,438.9,431.53,1.71,21687.4,30-10-2025,364.48,245,2
KAYNES,NSE:KAYNES,DAILY,180d,3158.5,3150.22,0.26,21219.2,20-05-2026,2995.0,43,7
ORIENTTECH,NSE:ORIENTTECH,DAILY,180d,263.55,261.76,0.68,21131.5,30-03-2026,220.8,94,23
MPHASIS,NSE:MPHASIS,DAILY,180d,2245.4,2223.07,1.0,19962.1,30-03-2026,2013.0,94,10
RPOWER,NSE:RPOWER,DAILY,180d,26.5,26.23,1.03,18916.2,30-03-2026,20.17,94,5
ABFRL,NSE:ABFRL,DAILY,180d,61.88,61.14,1.21,18675.3,30-03-2026,53.51,94,10
DELTACORP,NSE:DELTACORP,DAILY,180d,67.88,67.21,1.0,16646.9,30-03-2026,48.3,94,19
COCHINSHIP,NSE:COCHINSHIP,DAILY,180d,1519.3,1502.95,1.09,16634.8,30-03-2026,1187.0,94,22
JSWSTEEL,NSE:JSWSTEEL,DAILY,180d,1223.8,1204.45,1.61,15935.1,18-12-2025,1073.2,196,11
JIOFIN,NSE:JIOFIN,DAILY,180d,239.73,237.27,1.04,13987.8,30-03-2026,223.3,94,10
MFSL,NSE:MFSL,DAILY,180d,1618.3,1599.13,1.2,10852.6,02-04-2026,1433.6,91,5
