Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
OMFURN,NSE:OMFURN,180,PURE FIRST BREAK,0,13-02-2026,09-04-2026,106,53.95,52.95,1.89,10%,"10,099,440"
AHLUCONT,NSE:AHLUCONT,180,PURE FIRST BREAK,0,12-02-2026,15-04-2026,100,827.7,809.62,2.23,10%,"116,303,440"
FIEMIND,NSE:FIEMIND,180,PURE FIRST BREAK,0,11-02-2026,15-04-2026,100,2331.9,2228.51,4.64,10%,"84,867,165"
360ONE,NSE:360ONE,180,PURE FIRST BREAK,0,03-02-2026,16-04-2026,99,1102.3,1092.59,0.89,10%,"1,012,200,247"
BAJAJHLDNG,NSE:BAJAJHLDNG,180,PURE FIRST BREAK,0,23-02-2026,17-04-2026,98,10679.0,10374.3,2.94,10%,"784,586,130"
COLPAL,NSE:COLPAL,180,PURE FIRST BREAK,0,27-02-2026,17-04-2026,98,2086.1,2061.7,1.18,10%,"411,890,034"
SUNDRMFAST,NSE:SUNDRMFAST,180,PURE FIRST BREAK,0,30-01-2026,04-05-2026,84,958.3,872.23,9.87,10%,"40,762,248"
SHOPERSTOP,NSE:SHOPERSTOP,180,PURE FIRST BREAK,0,12-02-2026,06-05-2026,79,377.75,357.6,5.63,10%,"23,632,040"
SMCGLOBAL,NSE:SMCGLOBAL,180,PURE FIRST BREAK,0,11-02-2026,12-06-2026,42,75.46,72.23,4.47,10%,"21,726,745"
SCODATUBES,NSE:SCODATUBES,180,PURE FIRST BREAK,0,11-05-2026,17-06-2026,37,146.93,142.55,3.07,10%,"18,723,877"
GRPLTD,NSE:GRPLTD,180,PURE FIRST BREAK,0,15-04-2026,18-06-2026,36,2007.5,1891.12,6.15,10%,"40,900,805"
GLAXO,NSE:GLAXO,180,PURE FIRST BREAK,0,11-02-2026,22-06-2026,32,2514.3,2364.64,6.33,10%,"160,394,743"
NHPC,NSE:NHPC,180,PURE FIRST BREAK,0,29-04-2026,22-06-2026,35,79.72,78.51,1.54,10%,"555,301,706"
CCAVENUE,NSE:CCAVENUE,180,PURE FIRST BREAK,0,12-02-2026,24-06-2026,30,16.34,16.11,1.42,10%,"174,160,496"
GENUSPOWER,NSE:GENUSPOWER,180,PURE FIRST BREAK,0,24-06-2026,02-07-2026,22,315.6,315.02,0.18,10%,"339,863,335"
MAPMYINDIA,NSE:MAPMYINDIA,180,PURE FIRST BREAK,0,29-01-2026,09-07-2026,18,1132.1,1051.07,7.71,10%,"350,629,476"
SUDARSCHEM,NSE:SUDARSCHEM,180,PURE FIRST BREAK,0,26-05-2026,10-07-2026,14,1041.05,1004.27,3.66,10%,"146,718,307"
ECLERX,NSE:ECLERX,180,PURE FIRST BREAK,0,03-02-2026,13-07-2026,14,1811.7,1692.1,7.07,10%,"790,223,661"
ENTERO,NSE:ENTERO,180,PURE FIRST BREAK,0,25-05-2026,13-07-2026,11,1229.6,1227.07,0.21,10%,"82,870,120"
