Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
ANTHEM,NSE:ANTHEM,52,PURE FIRST BREAK,0,15-09-2025,06-04-2026,16,784.4,751.93,4.32,10%,"1,166,919,756"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,28-07-2025,06-04-2026,16,468.15,427.15,9.6,10%,"94,369,208"
BHAGCHEM,NSE:BHAGCHEM,52,PURE FIRST BREAK,0,28-07-2025,20-04-2026,14,269.1,258.5,4.1,10%,"52,324,612"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,12,2746.2,2631.13,4.37,10%,"22,485,193,158"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,12,231.97,221.31,4.82,10%,"110,106,881"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,8,1002.8,929.17,7.92,10%,"365,591,794"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,8,1505.2,1488.71,1.11,10%,"214,682,153"
JASH,NSE:JASH,52,PURE FIRST BREAK,0,28-07-2025,08-06-2026,7,492.45,484.5,1.64,10%,"171,566,137"
ACE,NSE:ACE,52,PURE FIRST BREAK,0,15-09-2025,15-06-2026,6,1057.2,990.97,6.68,10%,"2,107,431,897"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,6,749.25,712.74,5.12,10%,"6,280,951,511"
INDOSTAR,NSE:INDOSTAR,52,PURE FIRST BREAK,0,04-08-2025,15-06-2026,6,260.55,248.83,4.71,10%,"437,762,020"
INDIGO,NSE:INDIGO,52,PURE FIRST BREAK,0,18-08-2025,22-06-2026,5,5230.5,5185.03,0.88,10%,"18,105,401,902"
KICL,NSE:KICL,52,PURE FIRST BREAK,0,27-10-2025,22-06-2026,5,5326.0,5325.89,0.0,10%,"21,857,904"
MEDANTA,NSE:MEDANTA,52,PURE FIRST BREAK,0,04-08-2025,22-06-2026,5,1416.4,1294.4,9.42,10%,"1,374,687,044"
SUNDRMFAST,NSE:SUNDRMFAST,52,PURE FIRST BREAK,0,15-09-2025,22-06-2026,5,966.15,930.04,3.88,10%,"201,824,876"
3MINDIA,NSE:3MINDIA,52,PURE FIRST BREAK,0,09-02-2026,29-06-2026,4,34940.0,34298.37,1.87,10%,"238,430,560"
BLUEJET,NSE:BLUEJET,52,PURE FIRST BREAK,0,28-07-2025,29-06-2026,4,612.45,563.0,8.78,10%,"2,025,976,066"
CHOICEIN,NSE:CHOICEIN,52,PURE FIRST BREAK,0,05-01-2026,29-06-2026,4,798.7,759.56,5.15,10%,"1,284,654,658"
EMIL,NSE:EMIL,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,4,129.87,127.14,2.14,10%,"999,861,040"
ETERNAL,NSE:ETERNAL,52,PURE FIRST BREAK,0,13-10-2025,29-06-2026,4,310.65,283.0,9.77,10%,"72,389,108,275"
MAHLIFE,NSE:MAHLIFE,52,PURE FIRST BREAK,0,01-12-2025,29-06-2026,4,385.4,371.23,3.82,10%,"328,749,278"
SUPRAJIT,NSE:SUPRAJIT,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,4,499.45,482.78,3.45,10%,"123,263,764"
