Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
APH,NYSE:APH,DAILY,180d,150.31,148.53,1.2,18302.2,19-05-2026,117.83,71,1
SGOV,NYSE:SGOV,DAILY,180d,100.68,99.45,1.23,16234.0,07-11-2025,98.08,264,0
UBER,NYSE:UBER,DAILY,180d,71.2,70.7,0.7,8524.0,11-06-2026,67.19,48,4
MCD,NYSE:MCD,DAILY,180d,271.52,268.06,1.29,7395.7,25-06-2026,264.53,34,6
STM,NYSE:STM,DAILY,180d,48.36,47.79,1.19,5911.0,20-11-2025,20.95,251,0
NVT,NYSE:NVT,DAILY,180d,133.61,131.17,1.86,4295.4,17-12-2025,92.78,224,1
JBL,NYSE:JBL,DAILY,180d,287.14,284.61,0.89,3965.0,21-11-2025,189.5,250,0
FERG,NYSE:FERG,DAILY,365d,226.2,221.77,2.0,3845.9,09-04-2025,143.23,476,2
DHI,NYSE:DHI,DAILY,180d,147.16,145.65,1.04,3717.4,20-03-2026,131.35,131,6
ETR,NYSE:ETR,DAILY,180d,107.79,106.4,1.31,3621.6,22-12-2025,89.79,219,2
KR,NYSE:KR,DAILY,730d,59.87,59.67,0.34,3583.2,17-11-2023,39.91,985,13
AEM,NYSE:AEM,DAILY,180d,144.43,143.3,0.79,3465.3,30-06-2026,149.38,29,8
WEC,NYSE:WEC,DAILY,180d,111.29,110.83,0.42,3447.6,12-12-2025,101.22,229,2
SHV,NYSE:SHV,DAILY,180d,110.36,108.98,1.27,3030.3,07-11-2025,107.59,264,0
CW,NYSE:CW,DAILY,180d,679.41,672.35,1.05,2613.9,21-11-2025,521.08,250,1
AXS,NYSE:AXS,DAILY,180d,105.96,105.2,0.72,2186.5,01-06-2026,93.61,58,0
HII,NYSE:HII,DAILY,550d,280.4,277.26,1.13,1888.8,06-02-2025,154.1,538,4
HII,NYSE:HII,DAILY,180d,280.4,278.47,0.69,1888.8,22-06-2026,274.81,37,5
TM,NYSE:TM,DAILY,365d,192.84,191.74,0.57,1543.0,07-04-2025,155.0,478,65
KEX,NYSE:KEX,DAILY,180d,131.07,128.58,1.94,1321.9,14-11-2025,105.1,257,1
RBC,NYSE:RBC,DAILY,180d,550.27,545.69,0.84,1231.3,21-11-2025,418.05,250,0
RRC,NYSE:RRC,DAILY,180d,39.91,39.19,1.83,1206.7,15-01-2026,32.52,195,36
HLI,NYSE:HLI,DAILY,180d,139.08,136.4,1.96,1193.0,29-06-2026,131.3,30,1
ALLY,NYSE:ALLY,DAILY,180d,42.95,42.24,1.69,1114.2,12-03-2026,35.68,139,1
MTRN,NYSE:MTRN,DAILY,180d,189.34,188.08,0.67,1098.3,18-11-2025,110.52,253,2
TKO,NYSE:TKO,DAILY,365d,187.35,184.26,1.68,850.5,07-04-2025,130.73,478,6
CACI,NYSE:CACI,DAILY,365d,487.79,478.62,1.92,823.0,21-02-2025,318.6,523,9
VPG,NYSE:VPG,DAILY,180d,81.26,81.19,0.09,750.0,20-11-2025,29.08,251,10
TDW,NYSE:TDW,DAILY,180d,73.04,72.18,1.19,495.6,19-12-2025,49.54,222,14
BOND,NYSE:BOND,DAILY,365d,90.75,89.84,1.01,446.3,11-04-2025,83.42,474,2
RCI,NYSE:RCI,DAILY,180d,34.82,34.58,0.69,419.4,09-04-2026,31.67,111,14
JBND,NYSE:JBND,DAILY,365d,52.79,52.54,0.48,418.6,11-04-2025,49.17,474,3
BIRK,NYSE:BIRK,DAILY,180d,41.53,41.51,0.05,379.1,15-05-2026,31.12,75,2
BKU,NYSE:BKU,DAILY,180d,46.04,45.33,1.57,319.8,18-11-2025,37.23,253,13
LOAR,NYSE:LOAR,DAILY,180d,66.51,65.81,1.06,319.3,29-04-2026,53.15,91,1
MRP,NYSE:MRP,DAILY,180d,28.04,27.72,1.15,287.2,30-03-2026,25.6,121,14
OR,NYSE:OR,DAILY,180d,29.49,29.4,0.29,271.9,24-06-2026,30.68,35,15
ATMU,NYSE:ATMU,DAILY,180d,50.45,49.63,1.64,246.0,01-06-2026,44.13,58,0
RHLD,NYSE:RHLD,DAILY,365d,126.93,124.52,1.93,239.3,14-04-2025,24.22,471,24
EVTR,NYSE:EVTR,DAILY,365d,50.2,49.8,0.81,179.4,11-04-2025,46.55,474,1
BHC,NYSE:BHC,DAILY,180d,4.68,4.68,0.01,166.8,18-06-2026,4.57,41,7
MPT,NYSE:MPT,DAILY,365d,4.75,4.74,0.25,162.8,12-08-2025,3.68,351,20
ALG,NYSE:ALG,DAILY,180d,156.95,155.9,0.67,151.0,18-05-2026,145.46,72,0
HAWK,NYSE:HAWK,DAILY,180d,19.0,19.0,0.01,146.2,26-06-2026,18.71,33,4
TRTX,NYSE:TRTX,DAILY,180d,8.21,8.06,1.84,143.4,20-03-2026,7.35,131,1
ABR,NYSE:ABR,DAILY,180d,5.08,5.05,0.55,135.1,17-06-2026,4.99,42,8
LNN,NYSE:LNN,DAILY,180d,112.43,110.58,1.67,132.2,06-04-2026,96.93,114,3
FLXR,NYSE:FLXR,DAILY,180d,38.92,38.61,0.8,125.7,14-11-2025,38.03,257,7
GNL,NYSE:GNL,DAILY,180d,8.87,8.75,1.33,112.1,13-11-2025,7.24,258,1
MSDL,NYSE:MSDL,DAILY,180d,14.72,14.66,0.38,101.9,30-03-2026,13.13,121,1
