Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
BKE,NYSE:BKE,DAILY,180d,43.81,43.16,1.52,296.2,09-07-2026,40.39,43,2
BOND,NYSE:BOND,DAILY,365d,90.5,89.51,1.1,291.7,11-04-2025,83.05,497,2
LCII,NYSE:LCII,DAILY,365d,101.98,101.03,0.94,286.7,09-04-2025,67.79,499,17
BEPC,NYSE:BEPC,DAILY,180d,33.25,33.18,0.21,272.2,23-07-2026,32.1,29,1
BHE,NYSE:BHE,DAILY,180d,72.64,71.3,1.88,261.9,31-12-2025,42.47,233,0
EMA,NYSE:EMA,DAILY,365d,50.08,49.43,1.32,244.3,07-04-2025,37.55,501,0
FUL,NYSE:FUL,DAILY,180d,58.7,58.41,0.49,225.4,20-03-2026,48.3,154,25
TDOC,NYSE:TDOC,DAILY,180d,6.39,6.38,0.12,221.6,12-02-2026,4.4,190,0
AQN,NYSE:AQN,DAILY,365d,5.7,5.64,0.99,218.2,09-04-2025,4.31,499,9
PRG,NYSE:PRG,DAILY,180d,38.77,38.26,1.32,173.8,07-04-2026,27.04,136,1
IVT,NYSE:IVT,DAILY,180d,32.69,32.07,1.94,173.5,08-12-2025,27.05,256,4
PMMF,NYSE:PMMF,DAILY,180d,100.3,99.15,1.16,170.0,03-12-2025,97.72,261,0
ECVT,NYSE:ECVT,DAILY,365d,10.44,10.27,1.68,165.7,09-04-2025,5.24,499,4
EVTR,NYSE:EVTR,DAILY,365d,50.1,49.81,0.58,165.5,11-04-2025,46.55,497,1
PDO,NYSE:PDO,DAILY,365d,12.64,12.41,1.82,155.3,07-04-2025,10.05,501,7
DBD,NYSE:DBD,DAILY,365d,69.94,68.83,1.61,154.6,07-04-2025,34.88,501,3
CCO,NYSE:CCO,DAILY,180d,2.38,2.37,0.5,132.0,27-01-2026,1.95,206,3
CAE,NYSE:CAE,DAILY,180d,24.91,24.91,0.01,129.8,22-05-2026,22.76,91,2
FLXR,NYSE:FLXR,DAILY,180d,38.92,38.63,0.76,127.7,27-03-2026,37.95,147,3
UE,NYSE:UE,DAILY,180d,21.43,21.15,1.31,125.0,14-01-2026,18.15,219,1
MTX,NYSE:MTX,DAILY,180d,71.11,70.43,0.97,118.0,03-12-2025,57.6,261,1
HTB,NYSE:HTB,DAILY,180d,46.7,46.59,0.24,112.1,06-03-2026,40.5,168,0
PAM,NYSE:PAM,DAILY,365d,79.52,78.33,1.52,107.7,19-09-2025,54.95,336,3
CBU,NYSE:CBU,DAILY,180d,63.56,62.93,1.0,101.8,19-03-2026,54.51,155,0
