Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SGOV,NYSE:SGOV,DAILY,180d,100.51,99.28,1.24,14259.9,20-11-2025,97.88,264,0
CVS,NYSE:CVS,DAILY,180d,93.5,91.89,1.76,5419.5,30-03-2026,68.48,134,0
SO,NYSE:SO,DAILY,180d,91.92,91.5,0.46,4372.5,10-12-2025,82.46,244,3
CPNG,NYSE:CPNG,DAILY,180d,16.5,16.47,0.16,3329.8,08-06-2026,14.92,64,12
MP,NYSE:MP,DAILY,180d,55.24,54.76,0.88,3159.1,30-03-2026,44.43,134,34
LHX,NYSE:LHX,DAILY,365d,286.02,285.21,0.28,3060.8,07-04-2025,191.65,491,5
PGR,NYSE:PGR,DAILY,180d,212.35,208.41,1.89,2998.8,29-05-2026,189.12,74,3
SHV,NYSE:SHV,DAILY,180d,110.17,108.78,1.28,2465.9,20-11-2025,107.37,264,0
CTVA,NYSE:CTVA,DAILY,180d,76.22,75.98,0.32,2114.8,20-11-2025,63.73,264,1
AMT,NYSE:AMT,DAILY,180d,169.55,166.93,1.57,2062.4,06-07-2026,160.06,36,1
DOW,NYSE:DOW,DAILY,180d,31.26,30.93,1.06,1906.5,20-11-2025,20.18,264,21
LVS,NYSE:LVS,DAILY,180d,45.72,45.66,0.14,1766.2,14-07-2026,44.31,28,1
ETR,NYSE:ETR,DAILY,180d,106.57,106.41,0.15,1763.5,22-12-2025,89.79,232,2
NCLH,NYSE:NCLH,DAILY,180d,18.7,18.67,0.15,1676.2,19-05-2026,14.53,84,1
ED,NYSE:ED,DAILY,180d,107.5,106.28,1.14,1380.6,08-12-2025,93.44,246,4
AEE,NYSE:AEE,DAILY,180d,107.82,106.59,1.16,1119.5,12-12-2025,95.25,242,1
FE,NYSE:FE,DAILY,180d,46.84,46.49,0.75,1114.5,16-12-2025,42.6,238,30
