Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
DEEPINDS,NSE:DEEPINDS,52,PURE FIRST BREAK,0,01-09-2025,06-04-2026,10,493.0,470.29,4.83,10%,"341,818,099"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,10,446.9,429.9,3.95,10%,"31,264,677"
LT,NSE:LT,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,10,4207.7,3970.36,5.98,10%,"38,926,511,678"
PHOENIXLTD,NSE:PHOENIXLTD,52,PURE FIRST BREAK,0,12-01-2026,06-04-2026,10,1869.1,1769.04,5.66,10%,"5,863,422,696"
SUVEN,NSE:SUVEN,52,PURE FIRST BREAK,0,14-07-2025,06-04-2026,10,262.75,242.39,8.4,10%,"2,638,066,491"
VENUSPIPES,NSE:VENUSPIPES,52,PURE FIRST BREAK,0,21-07-2025,13-04-2026,9,1431.8,1312.86,9.06,10%,"152,847,519"
BALRAMCHIN,NSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,8,546.9,517.09,5.76,10%,"1,175,603,167"
BHAGCHEM,NSE:BHAGCHEM,52,PURE FIRST BREAK,0,28-07-2025,20-04-2026,8,263.08,247.58,6.26,10%,"105,943,626"
HUDCO,NSE:HUDCO,52,PURE FIRST BREAK,0,17-11-2025,20-04-2026,8,213.65,211.91,0.82,10%,"2,691,605,567"
JSFB,NSE:JSFB,52,PURE FIRST BREAK,0,23-06-2025,20-04-2026,8,467.75,458.56,2.0,10%,"788,942,231"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,8,521.6,497.98,4.74,10%,"209,526,189"
WEBELSOLAR,NSE:WEBELSOLAR,52,PURE FIRST BREAK,0,11-08-2025,20-04-2026,8,106.32,101.74,4.5,10%,"824,948,254"
FLUOROCHEM,NSE:FLUOROCHEM,52,PURE FIRST BREAK,0,22-09-2025,27-04-2026,7,3675.8,3620.43,1.53,10%,"1,137,347,672"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,6,2738.0,2624.29,4.33,10%,"13,221,634,982"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,6,949.65,947.67,0.21,10%,"7,323,259,401"
IIFLCAPS,NSE:IIFLCAPS,52,PURE FIRST BREAK,0,05-01-2026,04-05-2026,6,346.2,342.12,1.19,10%,"1,971,768,668"
NEULANDLAB,NSE:NEULANDLAB,52,PURE FIRST BREAK,0,10-11-2025,04-05-2026,6,17016.0,16337.83,4.15,10%,"2,020,581,936"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,6,234.89,216.22,8.63,10%,"354,315,826"
HESTERBIO,NSE:HESTERBIO,52,PURE FIRST BREAK,0,04-08-2025,18-05-2026,4,2052.6,1902.16,7.91,10%,"57,337,331"
KDDL,NSE:KDDL,52,PURE FIRST BREAK,0,16-06-2025,18-05-2026,4,2903.3,2735.33,6.14,10%,"200,406,092"
SAMMAANCAP,NSE:SAMMAANCAP,52,PURE FIRST BREAK,0,03-11-2025,18-05-2026,4,176.1,162.25,8.53,10%,"6,997,947,979"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,3,156.45,146.09,7.09,10%,"91,630,573"
DIAMONDYD,NSE:DIAMONDYD,52,PURE FIRST BREAK,0,29-12-2025,25-05-2026,3,1116.6,1109.06,0.68,10%,"69,136,521"
EXIDEIND,NSE:EXIDEIND,52,PURE FIRST BREAK,0,08-09-2025,25-05-2026,3,388.4,373.44,4.01,10%,"2,673,104,310"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,3,16410.0,15336.37,7.0,10%,"636,757,230"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,3,344.45,329.46,4.55,10%,"520,611,393"
RBA,NSE:RBA,52,PURE FIRST BREAK,0,15-09-2025,25-05-2026,3,69.04,68.44,0.87,10%,"1,037,301,988"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,3,97.95,97.34,0.63,10%,"28,494,438"
FIEMIND,NSE:FIEMIND,52,PURE FIRST BREAK,0,09-02-2026,01-06-2026,2,2307.2,2306.9,0.01,10%,"614,541,165"
FILATEX,NSE:FILATEX,52,PURE FIRST BREAK,0,03-11-2025,01-06-2026,2,53.1,51.7,2.72,10%,"267,025,874"
FOCUS,NSE:FOCUS,52,PURE FIRST BREAK,0,16-06-2025,01-06-2026,2,92.72,87.59,5.86,10%,"58,761,857"
GREENPLY,NSE:GREENPLY,52,PURE FIRST BREAK,0,21-07-2025,01-06-2026,2,293.67,287.04,2.31,10%,"327,218,582"
GTLINFRA,NSE:GTLINFRA,52,PURE FIRST BREAK,0,23-06-2025,01-06-2026,2,1.53,1.5,2.26,10%,"431,270,192"
GUFICBIO,NSE:GUFICBIO,52,PURE FIRST BREAK,0,28-07-2025,01-06-2026,2,366.45,353.2,3.75,10%,"101,233,648"
GULFPETRO,NSE:GULFPETRO,52,PURE FIRST BREAK,0,23-06-2025,01-06-2026,2,40.52,39.28,3.17,10%,"11,677,216"
PSPPROJECT,NSE:PSPPROJECT,52,PURE FIRST BREAK,0,10-11-2025,01-06-2026,2,907.45,873.87,3.84,10%,"275,195,106"
QUESS,NSE:QUESS,52,PURE FIRST BREAK,0,14-07-2025,01-06-2026,2,249.28,235.68,5.77,10%,"529,069,875"
RAMCOSYS,NSE:RAMCOSYS,52,PURE FIRST BREAK,0,08-12-2025,01-06-2026,2,570.3,543.43,4.95,10%,"989,870,829"
RELIABLE,NSE:RELIABLE,52,PURE FIRST BREAK,0,02-02-2026,01-06-2026,2,154.34,141.47,9.1,10%,"57,060,577"
SAREGAMA,NSE:SAREGAMA,52,PURE FIRST BREAK,0,16-06-2025,01-06-2026,2,453.4,436.63,3.84,10%,"1,113,484,189"
SSWL,NSE:SSWL,52,PURE FIRST BREAK,0,30-06-2025,01-06-2026,2,228.73,226.27,1.09,10%,"780,201,446"
WELENT,NSE:WELENT,52,PURE FIRST BREAK,0,27-10-2025,01-06-2026,2,549.7,530.43,3.63,10%,"283,903,016"
ZEEL,NSE:ZEEL,52,PURE FIRST BREAK,0,30-06-2025,01-06-2026,2,109.97,107.37,2.42,10%,"15,549,815,137"
DBOL,NSE:DBOL,104,PURE FIRST BREAK,0,23-09-2024,30-03-2026,11,112.98,110.93,1.85,10%,"12,784,252"
GUJALKALI,NSE:GUJALKALI,104,PURE FIRST BREAK,0,07-10-2024,13-04-2026,9,649.75,649.69,0.01,10%,"185,456,193"
SUPREMEPWR,NSE:SUPREMEPWR,104,PURE FIRST BREAK,0,01-07-2024,27-04-2026,7,245.2,229.87,6.67,10%,"29,301,400"
ASHIANA,NSE:ASHIANA,104,PURE FIRST BREAK,0,17-06-2024,04-05-2026,6,385.5,354.58,8.72,10%,"260,894,835"
MSPL,NSE:MSPL,104,PURE FIRST BREAK,0,23-09-2024,04-05-2026,6,41.98,38.8,8.18,10%,"1,006,626,948"
TRITURBINE,NSE:TRITURBINE,104,PURE FIRST BREAK,0,25-11-2024,18-05-2026,4,677.4,655.98,3.26,10%,"1,387,038,871"
MARKSANS,NSE:MARKSANS,104,PURE FIRST BREAK,0,02-12-2024,25-05-2026,3,254.75,234.26,8.75,10%,"1,682,181,759"
TATATECH,NSE:TATATECH,104,PURE FIRST BREAK,0,16-09-2024,01-06-2026,2,761.85,741.27,2.78,10%,"3,537,481,231"
VADILALIND,NSE:VADILALIND,104,PURE FIRST BREAK,0,12-05-2025,01-06-2026,2,6168.9,5656.47,9.06,10%,"696,875,946"
MASFIN,NSE:MASFIN,156,PURE FIRST BREAK,0,19-02-2024,23-06-2025,51,312.3,306.76,1.8,10%,"144,628,935"
ADANIENT,NSE:ADANIENT,156,PURE FIRST BREAK,0,03-06-2024,11-05-2026,5,2951.9,2687.95,9.82,10%,"16,280,111,708"
GOCLCORP,NSE:GOCLCORP,156,PURE FIRST BREAK,0,23-10-2023,01-06-2026,2,403.3,393.96,2.37,10%,"80,714,846"
