Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
LT,NSE:LT,DAILY,180d,3892.1,3861.82,0.78,87662.1,23-03-2026,3256.29,107,0
MARUTI,NSE:MARUTI,DAILY,365d,13951.0,13848.19,0.74,67114.9,07-04-2025,10941.03,457,75
CANBK,NSE:CANBK,DAILY,365d,121.15,119.09,1.73,45683.5,03-03-2025,73.46,492,0
HCLTECH,NSE:HCLTECH,DAILY,180d,1145.6,1129.07,1.46,35419.6,14-05-2026,1103.4,55,9
KAYNES,NSE:KAYNES,DAILY,180d,3210.7,3158.48,1.65,29075.7,20-05-2026,2995.0,49,7
RECLTD,NSE:RECLTD,DAILY,180d,348.75,347.15,0.46,27031.6,30-03-2026,304.05,100,19
FORTIS,NSE:FORTIS,DAILY,180d,943.75,926.28,1.89,21620.3,02-04-2026,766.8,97,0
SIEMENS,NSE:SIEMENS,DAILY,180d,3446.1,3402.3,1.29,12367.3,21-01-2026,2826.0,168,11
BIOCON,NSE:BIOCON,DAILY,180d,397.05,392.86,1.07,11848.7,07-04-2026,337.3,92,0
CAMS,NSE:CAMS,DAILY,180d,749.8,745.11,0.63,6739.5,23-03-2026,611.4,107,1
JSL,NSE:JSL,DAILY,180d,695.75,684.42,1.66,3914.3,08-06-2026,654.05,30,1
COLPAL,NSE:COLPAL,DAILY,180d,2020.1,2002.09,0.9,3566.0,30-03-2026,1761.24,100,7
PNGJL,NSE:PNGJL,DAILY,180d,573.5,570.55,0.52,3502.4,04-03-2026,503.0,126,34
TARC,NSE:TARC,DAILY,180d,124.27,124.16,0.09,3462.9,30-03-2026,109.1,100,9
LGEINDIA,NSE:LGEINDIA,DAILY,180d,1545.3,1515.13,1.99,3352.6,02-04-2026,1304.1,97,1
EIDPARRY,NSE:EIDPARRY,DAILY,180d,722.0,716.78,0.73,2667.3,09-06-2026,715.6,29,3
CASTROLIND,NSE:CASTROLIND,DAILY,180d,183.31,181.02,1.26,2604.8,24-03-2026,170.1,106,0
NEWGEN,NSE:NEWGEN,DAILY,180d,465.65,462.71,0.63,1852.9,30-03-2026,401.05,100,10
PFIZER,NSE:PFIZER,DAILY,180d,4532.1,4447.9,1.89,1553.2,05-06-2026,4396.7,33,2
DCXINDIA,NSE:DCXINDIA,DAILY,180d,193.92,191.0,1.53,1429.6,30-03-2026,153.3,100,5
ABBOTINDIA,NSE:ABBOTINDIA,DAILY,180d,26245.0,26052.66,0.74,1376.6,24-04-2026,25150.0,75,13
UBL,NSE:UBL,DAILY,180d,1325.2,1321.73,0.26,1295.8,02-06-2026,1276.0,36,0
ROTO,NSE:ROTO,DAILY,180d,68.44,67.51,1.37,1204.4,30-03-2026,47.5,100,1
SANSTAR,NSE:SANSTAR,DAILY,180d,111.62,111.0,0.56,1109.7,02-04-2026,74.3,97,0
AARTIPHARM,NSE:AARTIPHARM,DAILY,180d,686.25,674.77,1.7,1046.4,30-03-2026,585.0,100,16
RENUKA,NSE:RENUKA,DAILY,180d,22.56,22.37,0.86,891.7,03-06-2026,21.05,35,2
DCW,NSE:DCW,DAILY,180d,46.94,46.6,0.73,618.1,30-03-2026,37.11,100,1
ATULAUTO,NSE:ATULAUTO,DAILY,180d,474.15,467.99,1.32,503.4,30-03-2026,380.05,100,7
APCOTEXIND,NSE:APCOTEXIND,DAILY,180d,496.95,489.66,1.49,247.5,30-03-2026,307.18,100,0
EKC,NSE:EKC,DAILY,180d,114.0,112.36,1.46,191.5,30-03-2026,90.25,100,5
UNITECH,NSE:UNITECH,DAILY,180d,4.65,4.58,1.56,177.1,30-03-2026,3.1,100,2
KOTIC,NSE:KOTIC,DAILY,180d,166.63,163.63,1.84,144.9,04-06-2026,142.15,34,2
VEEDOL,NSE:VEEDOL,DAILY,180d,1434.8,1412.82,1.56,120.5,30-03-2026,1238.2,100,0
DRAGARWQ,NSE:DRAGARWQ,DAILY,180d,4908.0,4906.89,0.02,112.8,21-04-2026,4600.0,78,1
