Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SGOV,NYSE:SGOV,DAILY,180d,100.47,99.5,0.97,19209.3,17-10-2025,98.14,264,0
MCD,NYSE:MCD,DAILY,180d,278.25,274.15,1.5,13172.1,04-06-2026,271.85,34,9
FCX,NYSE:FCX,DAILY,180d,57.5,57.09,0.72,12550.1,06-11-2025,38.36,244,2
PFE,NYSE:PFE,DAILY,365d,24.05,23.89,0.67,9169.7,09-04-2025,19.19,455,1
NKE,NYSE:NKE,DAILY,180d,42.89,42.7,0.44,9039.8,18-05-2026,41.35,51,7
AZO,NYSE:AZO,DAILY,180d,3070.17,3044.55,0.84,8139.0,01-06-2026,2928.11,37,1
HCA,NYSE:HCA,DAILY,365d,410.61,404.08,1.62,6514.3,28-02-2025,291.78,495,30
SYF,NYSE:SYF,DAILY,365d,68.26,68.19,0.11,6435.0,07-04-2025,39.66,457,13
F,NYSE:F,DAILY,180d,13.5,13.43,0.5,5934.6,30-03-2026,10.97,100,3
DLR,NYSE:DLR,DAILY,180d,176.3,176.22,0.04,5061.2,18-12-2025,144.28,202,4
RKT,NYSE:RKT,DAILY,180d,14.16,13.94,1.6,4632.4,08-06-2026,12.17,30,0
EQT,NYSE:EQT,DAILY,550d,51.16,50.24,1.84,4278.4,05-08-2024,29.22,702,0
BMNR,NYSE:BMNR,DAILY,180d,14.86,14.76,0.68,4155.4,05-06-2026,15.6,33,9
DHI,NYSE:DHI,DAILY,180d,148.51,145.73,1.9,4056.7,20-03-2026,131.35,110,6
APO,NYSE:APO,DAILY,180d,118.14,116.67,1.26,3869.9,03-03-2026,99.14,127,1
NCLH,NYSE:NCLH,DAILY,180d,18.47,18.43,0.2,3658.8,19-05-2026,14.53,50,0
ROL,NYSE:ROL,DAILY,180d,44.95,44.4,1.23,2797.0,03-06-2026,44.43,35,13
A,NYSE:A,DAILY,180d,129.07,127.54,1.2,2763.5,20-05-2026,108.14,49,1
PPL,NYSE:PPL,DAILY,180d,35.99,35.97,0.07,2754.1,10-12-2025,32.66,210,25
OTIS,NYSE:OTIS,DAILY,180d,72.07,71.2,1.22,2661.0,01-06-2026,69.16,37,1
KKR,NYSE:KKR,DAILY,180d,93.3,93.03,0.29,2586.4,12-03-2026,82.51,118,6
PL,NYSE:PL,DAILY,180d,27.75,27.61,0.51,2533.0,21-11-2025,10.52,229,3
DKS,NYSE:DKS,DAILY,180d,215.21,212.42,1.32,2531.1,16-03-2026,184.42,114,0
CLX,NYSE:CLX,DAILY,180d,93.91,92.12,1.94,2449.5,05-05-2026,84.7,64,5
SHV,NYSE:SHV,DAILY,180d,110.12,109.06,0.97,2293.4,17-10-2025,107.68,264,0
RIG,NYSE:RIG,DAILY,180d,5.23,5.17,1.08,2226.6,17-10-2025,3.14,264,7
PHM,NYSE:PHM,DAILY,180d,122.94,122.65,0.24,2172.0,19-05-2026,108.26,50,0
TMHC,NYSE:TMHC,DAILY,180d,71.93,70.78,1.63,2149.5,19-05-2026,54.15,50,0
WPM,NYSE:WPM,DAILY,365d,107.6,105.74,1.76,2107.8,23-01-2025,57.43,531,0
ALC,NYSE:ALC,DAILY,180d,66.56,65.53,1.57,1867.8,11-05-2026,61.83,58,2
TOL,NYSE:TOL,DAILY,180d,145.57,144.23,0.93,1703.8,19-05-2026,123.15,50,0
GTLS,NYSE:GTLS,DAILY,180d,209.35,206.7,1.28,1574.7,04-11-2025,198.91,246,2
BJ,NYSE:BJ,DAILY,180d,86.71,86.41,0.34,1504.0,27-05-2026,83.65,42,4
IBP,NYSE:IBP,DAILY,180d,214.79,212.66,1.0,1314.5,08-06-2026,195.03,30,1
CACI,NYSE:CACI,DAILY,180d,493.78,485.25,1.76,1279.4,11-05-2026,465.0,58,10
BN,NYSE:BN,DAILY,365d,42.93,42.69,0.57,1241.3,09-04-2025,28.86,455,24
STE,NYSE:STE,DAILY,180d,209.49,207.17,1.12,1240.4,07-05-2026,194.56,62,8
WOLF,NYSE:WOLF,DAILY,365d,35.86,35.74,0.35,1240.4,29-09-2025,8.05,282,107
OWL,NYSE:OWL,DAILY,180d,9.24,9.16,0.86,1174.4,02-04-2026,7.77,97,9
WPC,NYSE:WPC,DAILY,180d,70.52,69.56,1.38,1172.1,22-12-2025,61.29,198,8
APG,NYSE:APG,DAILY,180d,41.47,40.95,1.26,1041.2,23-10-2025,33.52,258,1
RPM,NYSE:RPM,DAILY,180d,103.49,102.38,1.09,1035.9,20-03-2026,92.45,110,10
SITE,NYSE:SITE,DAILY,180d,108.1,107.21,0.83,963.9,04-06-2026,100.52,34,0
INGR,NYSE:INGR,DAILY,180d,97.96,97.61,0.36,869.4,21-05-2026,97.44,48,11
EXP,NYSE:EXP,DAILY,180d,203.63,202.92,0.35,866.9,20-03-2026,171.79,110,0
FSS,NYSE:FSS,DAILY,180d,119.11,116.97,1.83,810.4,01-06-2026,101.19,37,0
AN,NYSE:AN,DAILY,180d,187.65,187.42,0.12,784.4,20-05-2026,176.62,49,3
REXR,NYSE:REXR,DAILY,180d,33.92,33.9,0.04,757.6,27-03-2026,31.48,103,11
JBND,NYSE:JBND,DAILY,180d,53.05,53.05,0.01,738.6,19-05-2026,52.51,50,2
BOOT,NYSE:BOOT,DAILY,180d,156.44,156.4,0.03,729.3,02-04-2026,133.18,97,8
BIO,NYSE:BIO,DAILY,180d,283.86,283.41,0.16,718.4,13-05-2026,236.73,56,4
KSS,NYSE:KSS,DAILY,180d,15.89,15.58,1.99,699.6,20-05-2026,11.29,49,0
YUMC,NYSE:YUMC,DAILY,180d,42.72,42.14,1.37,698.5,08-06-2026,42.32,30,10
BTU,NYSE:BTU,DAILY,365d,22.88,22.45,1.93,586.8,07-04-2025,9.45,457,2
RITM,NYSE:RITM,DAILY,180d,8.99,8.83,1.78,581.0,20-03-2026,7.99,110,1
SAM,NYSE:SAM,DAILY,180d,178.28,176.07,1.26,559.8,04-06-2026,158.68,34,0
TXNM,NYSE:TXNM,DAILY,365d,56.4,55.32,1.95,496.7,27-01-2025,44.58,527,3
MMS,NYSE:MMS,DAILY,180d,57.22,57.09,0.23,423.4,20-05-2026,56.92,49,13
BEPC,NYSE:BEPC,DAILY,365d,35.92,35.87,0.15,418.0,09-04-2025,22.54,455,2
BOND,NYSE:BOND,DAILY,365d,91.27,90.12,1.28,389.6,11-04-2025,83.79,453,2
MAIN,NYSE:MAIN,DAILY,180d,51.05,50.23,1.62,378.7,22-05-2026,48.17,47,2
WGO,NYSE:WGO,DAILY,180d,28.83,28.68,0.51,367.0,05-06-2026,26.96,33,1
CC,NYSE:CC,DAILY,180d,18.38,18.13,1.36,338.4,20-11-2025,10.35,230,5
ATMU,NYSE:ATMU,DAILY,365d,49.52,48.67,1.74,300.6,07-04-2025,30.76,457,11
SNN,NYSE:SNN,DAILY,180d,29.95,29.82,0.43,294.5,11-05-2026,29.08,58,4
GNL,NYSE:GNL,DAILY,180d,8.92,8.88,0.49,293.6,03-11-2025,7.18,247,0
APAM,NYSE:APAM,DAILY,180d,35.76,35.68,0.21,254.7,27-03-2026,34.27,103,8
MBC,NYSE:MBC,DAILY,180d,8.65,8.51,1.69,250.7,19-05-2026,6.61,50,0
LNN,NYSE:LNN,DAILY,180d,111.15,110.26,0.8,219.9,06-04-2026,96.93,93,3
PMT,NYSE:PMT,DAILY,180d,10.45,10.31,1.33,193.9,08-06-2026,9.86,30,1
CNMD,NYSE:CNMD,DAILY,180d,33.59,33.33,0.77,179.2,03-06-2026,32.13,35,3
FEGE,NYSE:FEGE,DAILY,180d,49.28,48.35,1.93,178.8,20-11-2025,43.0,230,18
PMMF,NYSE:PMMF,DAILY,180d,100.26,99.21,1.06,175.9,17-10-2025,97.69,264,0
PMMF,NYSE:PMMF,DAILY,365d,100.26,98.32,1.98,175.9,06-02-2025,94.84,517,1
IVR,NYSE:IVR,DAILY,180d,7.78,7.65,1.71,174.1,17-10-2025,6.23,264,3
FDP,NYSE:FDP,DAILY,180d,28.33,27.82,1.83,135.4,08-06-2026,28.24,30,3
BUR,NYSE:BUR,DAILY,180d,4.27,4.22,1.21,126.3,27-03-2026,3.54,103,7
SLVM,NYSE:SLVM,DAILY,180d,38.1,37.98,0.33,114.2,20-05-2026,35.12,49,3
TLK,NYSE:TLK,DAILY,180d,14.06,13.94,0.85,111.1,08-06-2026,12.6,30,4
