Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
FEGE,NYSE:FEGE,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,117,51.24,49.25,4.05,10%,"13,666,170"
FEOE,NYSE:FEOE,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,117,55.43,53.16,4.26,10%,"12,291,270"
MC,NYSE:MC,180,PURE FIRST BREAK,0,05-02-2026,08-04-2026,117,68.56,64.12,6.92,10%,"53,628,041"
TFC,NYSE:TFC,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,117,51.92,49.53,4.84,10%,"341,060,080"
PB,NYSE:PB,180,PURE FIRST BREAK,0,12-02-2026,09-04-2026,116,75.25,70.27,7.09,10%,"42,411,050"
FSK,NYSE:FSK,180,PURE FIRST BREAK,0,12-02-2026,15-04-2026,110,11.09,10.56,5.0,10%,"43,066,008"
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,110,46.61,45.01,3.57,10%,"37,682,787"
DEO,NYSE:DEO,180,PURE FIRST BREAK,0,24-02-2026,17-04-2026,108,88.51,81.7,8.34,10%,"74,676,951"
DNOW,NYSE:DNOW,180,PURE FIRST BREAK,0,11-02-2026,24-04-2026,101,14.24,13.14,8.39,10%,"20,471,908"
BBT,NYSE:BBT,180,PURE FIRST BREAK,0,17-04-2026,10-06-2026,54,31.91,30.13,5.92,10%,"22,304,165"
NGVT,NYSE:NGVT,180,PURE FIRST BREAK,0,06-05-2026,11-06-2026,53,73.41,73.13,0.38,10%,"16,820,287"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,24-02-2026,16-06-2026,48,279.43,271.12,3.07,10%,"430,328,057"
NNI,NYSE:NNI,180,PURE FIRST BREAK,0,28-04-2026,24-06-2026,40,138.25,133.02,3.93,10%,"13,791,129"
BXSL,NYSE:BXSL,180,PURE FIRST BREAK,0,01-05-2026,29-06-2026,35,23.55,23.5,0.2,10%,"36,390,919"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,28,308.37,300.16,2.74,10%,"350,055,451"
QGEN,NYSE:QGEN,180,PURE FIRST BREAK,0,05-02-2026,09-07-2026,25,42.33,40.46,4.62,10%,"79,523,512"
DG,NYSE:DG,180,PURE FIRST BREAK,0,26-02-2026,13-07-2026,21,127.72,120.65,5.86,10%,"249,507,536"
PUK,NYSE:PUK,180,PURE FIRST BREAK,0,06-05-2026,13-07-2026,21,30.05,28.46,5.58,10%,"29,490,709"
FNB,NYSE:FNB,180,PURE FIRST BREAK,0,02-07-2026,15-07-2026,19,19.19,19.14,0.25,10%,"43,016,919"
ARW,NYSE:ARW,180,PURE FIRST BREAK,0,22-06-2026,21-07-2026,13,216.81,215.07,0.81,10%,"86,952,517"
GEO,NYSE:GEO,180,PURE FIRST BREAK,0,06-07-2026,21-07-2026,13,31.34,30.91,1.4,10%,"23,866,507"
