Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
NACLIND,NSE:NACLIND,180,PURE FIRST BREAK,0,08-01-2026,06-04-2026,66,159.36,158.31,0.66,10%,"35,908,111"
BOSCHLTD,NSE:BOSCHLTD,180,PURE FIRST BREAK,0,02-01-2026,08-04-2026,64,37565.0,36570.35,2.72,10%,"1,307,637,650"
GAIL,NSE:GAIL,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,64,166.09,158.1,5.05,10%,"1,690,188,938"
ELLEN,NSE:ELLEN,180,PURE FIRST BREAK,0,16-12-2025,10-04-2026,62,258.05,253.09,1.96,10%,"51,176,732"
SEJALLTD,NSE:SEJALLTD,180,PURE FIRST BREAK,0,24-12-2025,10-04-2026,62,661.25,658.75,0.38,10%,"20,094,065"
ASIANPAINT,NSE:ASIANPAINT,180,PURE FIRST BREAK,0,13-01-2026,15-04-2026,57,2690.9,2497.12,7.76,10%,"2,076,185,347"
BFUTILITIE,NSE:BFUTILITIE,180,PURE FIRST BREAK,0,24-12-2025,15-04-2026,57,578.5,560.89,3.14,10%,"31,698,329"
AJAXENGG,NSE:AJAXENGG,180,PURE FIRST BREAK,0,12-12-2025,21-04-2026,51,548.35,525.08,4.43,10%,"16,937,982"
EVEREADY,NSE:EVEREADY,180,PURE FIRST BREAK,0,05-02-2026,21-04-2026,51,334.85,329.42,1.65,10%,"68,353,267"
INOXGREEN,NSE:INOXGREEN,180,PURE FIRST BREAK,0,23-12-2025,21-04-2026,51,179.75,172.42,4.25,10%,"163,053,022"
JUBLPHARMA,NSE:JUBLPHARMA,180,PURE FIRST BREAK,0,07-01-2026,22-04-2026,50,945.85,936.55,0.99,10%,"50,653,104"
TITAGARH,NSE:TITAGARH,180,PURE FIRST BREAK,0,30-12-2025,24-04-2026,48,822.7,784.61,4.85,10%,"491,253,922"
GUJTHEM,NSE:GUJTHEM,180,PURE FIRST BREAK,0,26-12-2025,28-04-2026,44,383.3,376.89,1.7,10%,"15,991,275"
RBA,NSE:RBA,180,PURE FIRST BREAK,0,16-01-2026,29-04-2026,43,68.05,65.67,3.62,10%,"140,303,863"
HCG,NSE:HCG,180,PURE FIRST BREAK,0,15-12-2025,04-05-2026,38,629.4,613.25,2.63,10%,"37,856,523"
YESBANK,NSE:YESBANK,180,PURE FIRST BREAK,0,19-01-2026,05-05-2026,37,22.22,21.2,4.8,10%,"2,067,267,900"
GANESHHOU,NSE:GANESHHOU,180,PURE FIRST BREAK,0,12-12-2025,07-05-2026,35,755.65,699.82,7.98,10%,"21,962,212"
RITCO,NSE:RITCO,180,PURE FIRST BREAK,0,15-12-2025,07-05-2026,35,247.0,243.76,1.33,10%,"20,327,606"
TEAMLEASE,NSE:TEAMLEASE,180,PURE FIRST BREAK,0,12-12-2025,07-05-2026,35,1413.8,1358.48,4.07,10%,"51,865,255"
GEOJITFSL,NSE:GEOJITFSL,180,PURE FIRST BREAK,0,17-12-2025,13-05-2026,29,73.11,71.95,1.62,10%,"16,911,805"
KILITCH,NSE:KILITCH,180,PURE FIRST BREAK,0,05-02-2026,18-05-2026,24,181.79,174.16,4.38,10%,"23,083,330"
HARIOMPIPE,NSE:HARIOMPIPE,180,PURE FIRST BREAK,0,16-01-2026,22-05-2026,20,379.9,373.26,1.78,10%,"166,390,879"
DIAMONDYD,NSE:DIAMONDYD,180,PURE FIRST BREAK,0,01-01-2026,26-05-2026,16,1121.3,1087.95,3.07,10%,"36,819,008"
NIITLTD,NSE:NIITLTD,180,PURE FIRST BREAK,0,22-12-2025,01-06-2026,10,85.05,84.95,0.12,10%,"154,846,713"
SKFINDUS,NSE:SKFINDUS,180,PURE FIRST BREAK,0,30-01-2026,04-06-2026,7,2384.0,2361.02,0.97,10%,"22,535,952"
CONCORDBIO,NSE:CONCORDBIO,180,PURE FIRST BREAK,0,07-01-2026,09-06-2026,2,1343.3,1246.44,7.77,10%,"400,565,358"
