Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,12,454.6,431.84,5.27,10%,"72,809,646"
LT,NSE:LT,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,13,4041.0,3992.26,1.22,10%,"5,059,550,214"
TIINDIA,NSE:TIINDIA,52,PURE FIRST BREAK,0,15-09-2025,13-04-2026,12,3005.9,2868.71,4.78,10%,"702,376,607"
HUDCO,NSE:HUDCO,52,PURE FIRST BREAK,0,17-11-2025,20-04-2026,11,214.59,212.32,1.07,10%,"1,031,574,670"
LLOYDSENT,NSE:LLOYDSENT,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,10,75.35,68.82,9.49,10%,"1,073,829,405"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,10,537.2,503.35,6.72,10%,"572,530,045"
WEBELSOLAR,NSE:WEBELSOLAR,52,PURE FIRST BREAK,0,11-08-2025,20-04-2026,11,103.09,101.86,1.21,10%,"169,093,573"
AERONEU,NSE:AERONEU,52,PURE FIRST BREAK,0,08-09-2025,27-04-2026,9,92.42,89.9,2.8,10%,"43,910,220"
ARTEMISMED,NSE:ARTEMISMED,52,PURE FIRST BREAK,0,17-11-2025,04-05-2026,9,275.9,267.59,3.11,10%,"213,090,257"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,8,2737.8,2615.35,4.68,10%,"26,757,256,345"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,8,974.6,949.51,2.64,10%,"12,801,983,703"
SAMMAANCAP,NSE:SAMMAANCAP,52,PURE FIRST BREAK,0,03-11-2025,18-05-2026,7,176.64,163.68,7.92,10%,"1,930,497,317"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,5,166.45,153.38,8.52,10%,"1,246,538,534"
DIAMONDYD,NSE:DIAMONDYD,52,PURE FIRST BREAK,0,29-12-2025,25-05-2026,5,1204.7,1113.95,8.15,10%,"326,812,207"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,5,15693.0,15373.69,2.08,10%,"144,265,749"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,5,345.85,330.23,4.73,10%,"90,691,555"
RBA,NSE:RBA,52,PURE FIRST BREAK,0,15-09-2025,25-05-2026,5,75.72,71.59,5.76,10%,"2,718,702,943"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,5,103.63,97.51,6.28,10%,"42,084,660"
FILATEX,NSE:FILATEX,52,PURE FIRST BREAK,0,03-11-2025,01-06-2026,4,55.95,52.02,7.55,10%,"371,670,931"
GREENPLY,NSE:GREENPLY,52,PURE FIRST BREAK,0,21-07-2025,01-06-2026,4,316.0,287.55,9.9,10%,"449,281,532"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,4,992.5,907.55,9.36,10%,"365,140,750"
RELIABLE,NSE:RELIABLE,52,PURE FIRST BREAK,0,02-02-2026,01-06-2026,4,147.19,142.25,3.48,10%,"25,130,485"
ALKYLAMINE,NSE:ALKYLAMINE,52,PURE FIRST BREAK,0,07-07-2025,08-06-2026,4,1798.8,1785.0,0.77,10%,"45,631,960"
IDFCFIRSTB,NSE:IDFCFIRSTB,52,PURE FIRST BREAK,0,29-12-2025,08-06-2026,4,81.14,75.52,7.44,10%,"1,795,300,219"
MGEL,NSE:MGEL,52,PURE FIRST BREAK,0,22-09-2025,08-06-2026,3,16.85,15.77,6.84,10%,"20,262,698"
POWERMECH,NSE:POWERMECH,52,PURE FIRST BREAK,0,07-07-2025,08-06-2026,4,2672.8,2652.8,0.75,10%,"242,492,457"
ANUP,NSE:ANUP,52,PURE FIRST BREAK,0,07-07-2025,15-06-2026,2,2313.4,2229.49,3.76,10%,"444,619,267"
CNL,NSE:CNL,52,PURE FIRST BREAK,0,15-12-2025,15-06-2026,2,764.6,720.08,6.18,10%,"58,344,330"
COFORGE,NSE:COFORGE,52,PURE FIRST BREAK,0,08-12-2025,15-06-2026,3,1481.9,1461.49,1.4,10%,"2,242,894,216"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,3,738.15,709.81,3.99,10%,"1,382,817,777"
JASH,NSE:JASH,52,PURE FIRST BREAK,0,14-07-2025,15-06-2026,2,492.0,488.6,0.7,10%,"983,496,684"
MANBA,NSE:MANBA,52,PURE FIRST BREAK,0,03-11-2025,15-06-2026,2,139.15,130.26,6.83,10%,"113,967,741"
NACLIND,NSE:NACLIND,52,PURE FIRST BREAK,0,28-07-2025,15-06-2026,3,223.62,205.32,8.91,10%,"395,384,750"
NELCO,NSE:NELCO,52,PURE FIRST BREAK,0,07-07-2025,15-06-2026,3,921.3,865.81,6.41,10%,"85,951,761"
PATINTLOG,NSE:PATINTLOG,52,PURE FIRST BREAK,0,21-07-2025,15-06-2026,2,15.59,14.23,9.52,10%,"17,385,890"
PRITIKAUTO,NSE:PRITIKAUTO,52,PURE FIRST BREAK,0,14-07-2025,15-06-2026,2,16.42,16.38,0.24,10%,"20,052,170"
RELIGARE,NSE:RELIGARE,52,PURE FIRST BREAK,0,21-07-2025,15-06-2026,2,262.85,252.89,3.94,10%,"816,516,208"
RELTD,NSE:RELTD,52,PURE FIRST BREAK,0,22-09-2025,15-06-2026,2,167.68,159.32,5.24,10%,"469,935,085"
TBZ,NSE:TBZ,52,PURE FIRST BREAK,0,04-08-2025,15-06-2026,2,192.63,185.16,4.04,10%,"503,049,598"
MAXHEALTH,NSE:MAXHEALTH,52,PURE FIRST BREAK,0,07-07-2025,22-06-2026,2,1132.5,1113.13,1.74,10%,"1,544,133,172"
SWSOLAR,NSE:SWSOLAR,52,PURE FIRST BREAK,0,14-07-2025,22-06-2026,2,245.11,238.69,2.69,10%,"295,011,946"
UNITDSPR,NSE:UNITDSPR,52,PURE FIRST BREAK,0,27-10-2025,22-06-2026,2,1427.3,1383.67,3.15,10%,"1,686,306,479"
DBOL,NSE:DBOL,104,PURE FIRST BREAK,0,23-09-2024,30-03-2026,13,111.92,111.02,0.81,10%,"36,158,441"
HARDWYN,NSE:HARDWYN,104,PURE FIRST BREAK,0,23-09-2024,06-04-2026,12,24.75,22.69,9.08,10%,"724,133,124"
TIPSMUSIC,NSE:TIPSMUSIC,104,PURE FIRST BREAK,0,04-11-2024,20-04-2026,10,684.65,650.79,5.2,10%,"1,002,178,382"
WALCHANNAG,NSE:WALCHANNAG,104,PURE FIRST BREAK,0,29-07-2024,27-04-2026,9,243.55,241.34,0.92,10%,"2,271,417,471"
MSPL,NSE:MSPL,104,PURE FIRST BREAK,0,23-09-2024,04-05-2026,8,42.81,39.05,9.63,10%,"240,204,906"
MARKSANS,NSE:MARKSANS,104,PURE FIRST BREAK,0,02-12-2024,25-05-2026,6,259.7,236.32,9.9,10%,"354,843,189"
VINDHYATEL,NSE:VINDHYATEL,104,PURE FIRST BREAK,0,29-07-2024,25-05-2026,5,2032.9,1955.09,3.98,10%,"350,587,840"
SOTL,NSE:SOTL,104,PURE FIRST BREAK,0,08-07-2024,01-06-2026,5,578.9,548.54,5.54,10%,"1,131,293,953"
ORCHPHARMA,NSE:ORCHPHARMA,104,PURE FIRST BREAK,0,30-12-2024,08-06-2026,4,933.55,889.64,4.94,10%,"35,436,624"
KPRMILL,NSE:KPRMILL,104,PURE FIRST BREAK,0,05-05-2025,15-06-2026,2,1184.5,1135.6,4.31,10%,"3,940,095,926"
PAGEIND,NSE:PAGEIND,104,PURE FIRST BREAK,0,23-06-2025,15-06-2026,2,42800.0,40123.31,6.67,10%,"10,323,531,200"
RANEHOLDIN,NSE:RANEHOLDIN,104,PURE FIRST BREAK,0,09-09-2024,15-06-2026,2,1743.3,1605.52,8.58,10%,"264,134,364"
FLUOROCHEM,NSE:FLUOROCHEM,104,PURE FIRST BREAK,0,14-10-2024,22-06-2026,2,3936.2,3879.0,1.47,10%,"516,897,841"
MAXHEALTH,NSE:MAXHEALTH,104,PURE FIRST BREAK,0,30-06-2025,22-06-2026,2,1132.5,1115.65,1.51,10%,"1,544,133,172"
MASFIN,NSE:MASFIN,156,PURE FIRST BREAK,0,19-02-2024,23-06-2025,53,322.05,307.05,4.89,10%,"244,526,115"
ASHIANA,NSE:ASHIANA,156,PURE FIRST BREAK,0,17-06-2024,04-05-2026,8,389.9,355.21,9.77,10%,"193,375,191"
SIS,NSE:SIS,156,PURE FIRST BREAK,0,22-01-2024,04-05-2026,8,425.75,398.63,6.8,10%,"510,483,616"
GOCLCORP,NSE:GOCLCORP,156,PURE FIRST BREAK,0,23-10-2023,01-06-2026,5,404.05,395.77,2.09,10%,"59,588,888"
CARBORUNIV,NSE:CARBORUNIV,156,PURE FIRST BREAK,0,17-06-2024,15-06-2026,2,1139.6,1123.19,1.46,10%,"907,970,583"
YESBANK,NSE:YESBANK,156,PURE FIRST BREAK,0,05-02-2024,15-06-2026,3,24.26,23.81,1.89,10%,"1,778,672,669"
ZIMLAB,NSE:ZIMLAB,156,PURE FIRST BREAK,0,31-07-2023,15-06-2026,2,122.01,115.41,5.72,10%,"15,800,661"
CGCL,NSE:CGCL,208,PURE FIRST BREAK,0,12-06-2023,15-06-2026,2,233.87,214.44,9.06,10%,"7,077,340,349"
