Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
IBM,NYSE:IBM,DAILY,180d,264.94,264.01,0.35,41465.2,13-05-2026,212.34,41,3
XOM,NYSE:XOM,DAILY,180d,139.73,138.07,1.2,19133.5,16-10-2025,107.98,250,1
SGOV,NYSE:SGOV,DAILY,180d,100.61,99.41,1.21,18560.9,03-10-2025,97.99,263,0
BLK,NYSE:BLK,DAILY,180d,1015.33,1001.31,1.4,14776.1,12-03-2026,912.25,103,2
MCK,NYSE:MCK,DAILY,180d,763.91,749.82,1.88,10416.7,11-05-2026,722.88,43,4
TMO,NYSE:TMO,DAILY,180d,469.35,461.5,1.7,8563.8,18-05-2026,434.83,36,1
SPOT,NYSE:SPOT,DAILY,730d,455.5,452.1,0.75,8414.0,20-10-2023,145.76,977,17
COP,NYSE:COP,DAILY,180d,109.97,107.85,1.97,7945.8,06-11-2025,83.51,229,1
KKR,NYSE:KKR,DAILY,180d,93.5,93.33,0.19,6109.1,12-03-2026,82.51,103,1
LOW,NYSE:LOW,DAILY,180d,213.54,212.52,0.48,5907.4,20-05-2026,208.0,34,4
PPL,NYSE:PPL,DAILY,180d,36.29,35.93,0.99,4869.0,10-12-2025,32.66,195,25
MRSH,NYSE:MRSH,DAILY,180d,163.84,161.29,1.58,4235.9,13-05-2026,158.16,41,3
JOBY,NYSE:JOBY,DAILY,180d,9.55,9.4,1.59,3635.6,30-03-2026,7.75,85,4
ITW,NYSE:ITW,DAILY,180d,261.64,259.28,0.91,3480.6,18-11-2025,235.8,217,31
FICO,NYSE:FICO,DAILY,180d,1099.41,1086.93,1.15,3048.7,22-04-2026,870.01,62,0
IQV,NYSE:IQV,DAILY,180d,171.28,169.12,1.28,2778.5,30-04-2026,154.5,54,2
BJ,NYSE:BJ,DAILY,180d,86.13,86.1,0.04,2735.5,22-05-2026,85.13,32,2
A,NYSE:A,DAILY,180d,126.67,126.65,0.01,2682.4,20-05-2026,108.35,34,1
SHV,NYSE:SHV,DAILY,180d,110.27,108.94,1.22,2443.1,03-10-2025,107.52,263,0
OTIS,NYSE:OTIS,DAILY,180d,71.75,70.84,1.28,2408.4,19-05-2026,69.72,35,4
FDS,NYSE:FDS,DAILY,180d,218.15,214.88,1.52,2302.8,17-02-2026,183.16,126,4
CLX,NYSE:CLX,DAILY,180d,92.64,91.49,1.25,2231.9,05-05-2026,84.7,49,5
P,NYSE:P,DAILY,180d,72.36,72.11,0.35,2025.7,30-03-2026,56.78,85,3
XYL,NYSE:XYL,DAILY,180d,110.4,108.89,1.38,1925.0,20-05-2026,104.88,34,1
NTR,NYSE:NTR,DAILY,550d,61.54,60.69,1.41,1891.4,23-12-2024,42.04,547,5
KNSL,NYSE:KNSL,DAILY,180d,304.48,301.41,1.02,1846.1,07-05-2026,293.54,47,3
BG,NYSE:BG,DAILY,180d,110.86,109.27,1.45,1843.8,14-10-2025,77.62,252,9
BN,NYSE:BN,DAILY,180d,43.94,43.45,1.14,1829.7,20-03-2026,37.87,95,0
FE,NYSE:FE,DAILY,180d,47.45,46.69,1.64,1764.4,16-12-2025,43.02,189,30
ONON,NYSE:ONON,DAILY,180d,35.14,35.11,0.09,1703.1,27-03-2026,31.41,88,0
GTLS,NYSE:GTLS,DAILY,180d,208.8,206.54,1.09,1619.2,04-11-2025,198.91,231,2
NYT,NYSE:NYT,DAILY,180d,72.83,71.49,1.88,1531.7,14-10-2025,53.81,252,0
ALC,NYSE:ALC,DAILY,180d,66.12,65.08,1.6,1515.5,11-05-2026,61.83,43,2
TMHC,NYSE:TMHC,DAILY,180d,71.65,70.5,1.63,1313.2,19-05-2026,54.15,35,0
APG,NYSE:APG,DAILY,180d,41.58,40.96,1.52,1306.4,23-10-2025,33.52,243,1
UHS,NYSE:UHS,DAILY,180d,145.85,145.06,0.54,1200.9,21-05-2026,156.79,33,9
SOLV,NYSE:SOLV,DAILY,180d,73.99,72.56,1.98,1137.1,07-04-2026,62.38,77,1
PNR,NYSE:PNR,DAILY,180d,73.16,72.02,1.58,1092.9,20-05-2026,70.73,34,3
ELAN,NYSE:ELAN,DAILY,180d,23.18,22.74,1.92,1076.3,19-05-2026,19.4,35,0
EQNR,NYSE:EQNR,DAILY,180d,32.65,32.17,1.5,1064.4,25-11-2025,21.74,210,1
SKM,NYSE:SKM,DAILY,180d,33.45,33.0,1.35,1064.3,22-12-2025,19.66,183,1
GIL,NYSE:GIL,DAILY,550d,52.76,52.01,1.44,997.2,02-05-2024,31.06,782,18
MTDR,NYSE:MTDR,DAILY,180d,50.38,49.63,1.5,988.0,05-11-2025,36.26,230,1
SF,NYSE:SF,DAILY,180d,73.56,73.16,0.54,944.1,19-03-2026,68.97,96,20
AVY,NYSE:AVY,DAILY,180d,157.86,156.07,1.15,927.7,20-05-2026,151.71,34,3
GXO,NYSE:GXO,DAILY,180d,48.83,48.17,1.38,919.5,19-05-2026,45.4,35,1
JBTM,NYSE:JBTM,DAILY,180d,129.49,127.23,1.78,911.7,04-05-2026,113.58,50,8
AOS,NYSE:AOS,DAILY,180d,57.44,57.18,0.45,910.8,20-05-2026,54.16,34,1
SIG,NYSE:SIG,DAILY,180d,84.92,83.35,1.89,892.3,19-05-2026,71.62,35,0
ALV,NYSE:ALV,DAILY,180d,116.64,114.4,1.96,811.8,20-03-2026,98.41,95,1
IRT,NYSE:IRT,DAILY,180d,16.27,16.04,1.42,674.6,02-04-2026,14.6,82,3
TPB,NYSE:TPB,DAILY,180d,80.18,78.94,1.57,545.7,01-04-2026,65.73,83,2
AMR,NYSE:AMR,DAILY,365d,166.68,165.45,0.74,532.4,25-06-2025,97.41,363,0
HCC,NYSE:HCC,DAILY,180d,86.11,84.92,1.4,500.3,22-10-2025,61.7,244,4
JBND,NYSE:JBND,DAILY,365d,53.33,52.48,1.62,477.4,14-01-2025,48.51,525,2
BIPC,NYSE:BIPC,DAILY,180d,38.8,38.48,0.83,422.7,29-04-2026,33.81,55,1
BOX,NYSE:BOX,DAILY,180d,24.98,24.6,1.54,410.2,13-04-2026,21.34,71,1
RITM,NYSE:RITM,DAILY,180d,9.21,9.05,1.73,389.8,20-03-2026,8.21,95,1
ASAN,NYSE:ASAN,DAILY,180d,6.67,6.62,0.8,374.0,13-04-2026,5.38,71,3
PBH,NYSE:PBH,DAILY,180d,46.05,45.85,0.43,333.6,14-05-2026,42.62,40,2
MAIN,NYSE:MAIN,DAILY,730d,50.02,49.82,0.39,292.3,30-10-2023,30.51,967,1
COTY,NYSE:COTY,DAILY,180d,1.96,1.94,1.17,276.7,21-05-2026,1.89,33,5
FSK,NYSE:FSK,DAILY,180d,10.23,10.08,1.44,273.9,16-03-2026,9.2,99,0
WGO,NYSE:WGO,DAILY,180d,28.28,28.13,0.54,249.6,20-05-2026,27.3,34,3
HLX,NYSE:HLX,DAILY,180d,8.83,8.74,0.99,214.9,18-12-2025,6.11,187,1
HTGC,NYSE:HTGC,DAILY,180d,15.18,15.03,0.97,195.3,27-03-2026,13.29,88,0
TFPM,NYSE:TFPM,DAILY,365d,28.8,28.31,1.72,164.0,13-01-2025,14.96,526,3
NPK,NYSE:NPK,DAILY,180d,126.88,126.38,0.4,152.5,01-12-2025,90.62,204,0
UTZ,NYSE:UTZ,DAILY,180d,7.05,7.02,0.42,147.1,15-05-2026,6.86,39,8
MBC,NYSE:MBC,DAILY,180d,8.36,8.29,0.81,145.2,19-05-2026,6.61,35,0
TLK,NYSE:TLK,DAILY,180d,14.43,14.37,0.42,142.1,22-05-2026,15.03,32,9
VYX,NYSE:VYX,DAILY,180d,7.0,6.88,1.72,135.8,02-04-2026,6.02,82,9
NXRT,NYSE:NXRT,DAILY,180d,27.28,26.81,1.73,104.7,02-04-2026,23.35,82,1
RVI,NYSE:RVI,DAILY,180d,36.93,36.7,0.62,102.2,06-03-2026,21.0,109,2
