Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
ITC,NSE:ITC,DAILY,180d,284.65,282.38,0.8,42253.1,04-06-2026,275.05,54,12
TATAELXSI,NSE:TATAELXSI,DAILY,180d,3581.8,3536.27,1.29,24550.4,30-06-2026,3813.8,28,7
ANGELONE,NSE:ANGELONE,DAILY,180d,302.6,298.42,1.4,10398.1,13-03-2026,206.48,137,0
OLAELEC,NSE:OLAELEC,DAILY,180d,37.11,36.83,0.75,10133.9,16-03-2026,22.25,134,1
NORTHARC,NSE:NORTHARC,DAILY,180d,285.35,284.33,0.36,8727.8,30-03-2026,206.0,120,0
HUDCO,NSE:HUDCO,DAILY,730d,194.45,191.02,1.8,8711.5,02-11-2023,70.34,999,32
MTARTECH,NSE:MTARTECH,DAILY,180d,5467.0,5465.55,0.03,7523.9,07-11-2025,2217.1,263,11
IFCI,NSE:IFCI,DAILY,180d,68.52,67.25,1.9,6137.8,18-12-2025,46.23,222,15
ITCHOTELS,NSE:ITCHOTELS,DAILY,180d,161.01,158.59,1.52,3961.7,30-03-2026,136.41,120,4
FEDDERSHOL,NSE:FEDDERSHOL,DAILY,180d,42.22,42.07,0.35,1961.6,27-05-2026,32.06,62,2
CASTROLIND,NSE:CASTROLIND,DAILY,180d,184.06,181.45,1.44,1901.9,24-03-2026,170.1,126,0
BAJAJHCARE,NSE:BAJAJHCARE,DAILY,180d,321.75,319.89,0.58,1212.0,18-05-2026,272.35,71,1
KPIL,NSE:KPIL,DAILY,180d,1265.5,1258.18,0.58,1161.6,23-03-2026,999.1,127,0
SASKEN,NSE:SASKEN,DAILY,180d,1742.2,1715.03,1.58,1028.9,16-03-2026,983.97,134,0
EMAMILTD,NSE:EMAMILTD,DAILY,180d,407.1,401.22,1.46,947.0,08-06-2026,376.4,50,1
BAYERCROP,NSE:BAYERCROP,DAILY,180d,4219.4,4153.08,1.6,568.2,29-06-2026,4030.0,29,1
BANSALWIRE,NSE:BANSALWIRE,DAILY,180d,309.15,307.61,0.5,568.2,30-03-2026,222.5,120,1
DIGITIDE,NSE:DIGITIDE,DAILY,180d,97.44,97.26,0.18,457.7,23-03-2026,69.9,127,3
BANCOINDIA,NSE:BANCOINDIA,DAILY,180d,622.35,622.04,0.05,446.7,30-03-2026,502.0,120,2
CHEMPLASTS,NSE:CHEMPLASTS,DAILY,180d,202.14,201.36,0.39,438.2,11-06-2026,193.11,47,12
ATULAUTO,NSE:ATULAUTO,DAILY,180d,475.9,468.2,1.65,250.9,30-03-2026,380.05,120,7
MHRIL,NSE:MHRIL,DAILY,180d,218.28,217.16,0.51,229.3,04-06-2026,208.22,54,1
MAMATA,NSE:MAMATA,DAILY,180d,382.6,379.35,0.86,200.9,30-03-2026,297.0,120,14
GRMOVER,NSE:GRMOVER,DAILY,180d,89.57,88.87,0.79,190.8,11-06-2026,81.95,47,0
DCAL,NSE:DCAL,DAILY,180d,182.07,178.87,1.79,147.9,30-03-2026,128.5,120,11
PARKHOTELS,NSE:PARKHOTELS,DAILY,180d,119.95,117.76,1.86,144.3,30-03-2026,95.1,120,4
SUPREMEPWR,NSE:SUPREMEPWR,DAILY,180d,209.05,208.51,0.26,133.8,24-02-2026,130.55,153,2
