Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
WAL,NYSE:WAL,180,PURE FIRST BREAK,0,26-02-2026,08-04-2026,135,79.67,78.45,1.55,10%,"98,336,679"
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,128,46.41,45.19,2.7,10%,"14,071,512"
FBIN,NYSE:FBIN,180,PURE FIRST BREAK,0,25-02-2026,11-06-2026,71,44.53,44.47,0.13,10%,"115,720,108"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,25-02-2026,16-06-2026,66,281.63,272.18,3.47,10%,"676,869,554"
RSG,NYSE:RSG,180,PURE FIRST BREAK,0,03-03-2026,24-06-2026,58,220.67,214.32,2.96,10%,"237,286,449"
DCI,NYSE:DCI,180,PURE FIRST BREAK,0,25-02-2026,25-06-2026,57,93.25,89.21,4.53,10%,"49,469,125"
BFAM,NYSE:BFAM,180,PURE FIRST BREAK,0,22-04-2026,26-06-2026,56,72.88,71.76,1.56,10%,"39,151,135"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,46,318.04,302.16,5.25,10%,"287,953,424"
DG,NYSE:DG,180,PURE FIRST BREAK,0,26-02-2026,13-07-2026,39,123.41,120.94,2.04,10%,"218,448,047"
AORT,NYSE:AORT,180,PURE FIRST BREAK,0,21-04-2026,16-07-2026,36,28.08,25.69,9.31,10%,"13,615,992"
PBR,NYSE:PBR,180,PURE FIRST BREAK,0,04-05-2026,22-07-2026,30,19.15,18.66,2.6,10%,"334,853,063"
TTE,NYSE:TTE,180,PURE FIRST BREAK,0,18-05-2026,22-07-2026,30,89.89,85.04,5.7,10%,"87,346,112"
ICE,NYSE:ICE,180,PURE FIRST BREAK,0,08-04-2026,24-07-2026,28,161.25,147.75,9.13,10%,"591,045,750"
T,NYSE:T,180,PURE FIRST BREAK,0,24-03-2026,24-07-2026,28,25.29,23.86,6.01,10%,"767,270,809"
JBS,NYSE:JBS,180,PURE FIRST BREAK,0,10-04-2026,27-07-2026,25,13.82,13.43,2.87,10%,"71,866,762"
AVY,NYSE:AVY,180,PURE FIRST BREAK,0,25-02-2026,28-07-2026,24,183.71,168.86,8.79,10%,"87,831,754"
G,NYSE:G,180,PURE FIRST BREAK,0,05-03-2026,28-07-2026,24,37.14,34.01,9.2,10%,"197,009,127"
EW,NYSE:EW,180,PURE FIRST BREAK,0,07-07-2026,03-08-2026,18,89.79,89.46,0.37,10%,"253,189,845"
HPE,NYSE:HPE,180,PURE FIRST BREAK,0,02-06-2026,04-08-2026,17,53.45,52.08,2.64,10%,"421,966,376"
WFG,NYSE:WFG,180,PURE FIRST BREAK,0,16-07-2026,04-08-2026,17,69.75,69.67,0.12,10%,"10,357,875"
DIS,NYSE:DIS,180,PURE FIRST BREAK,0,07-05-2026,05-08-2026,16,107.78,101.38,6.31,10%,"736,072,724"
UHS,NYSE:UHS,180,PURE FIRST BREAK,0,25-02-2026,05-08-2026,16,177.26,169.63,4.5,10%,"119,242,798"
WTS,NYSE:WTS,180,PURE FIRST BREAK,0,30-06-2026,05-08-2026,16,375.57,369.43,1.66,10%,"69,780,907"
LDOS,NYSE:LDOS,180,PURE FIRST BREAK,0,03-03-2026,06-08-2026,15,141.39,132.99,6.32,10%,"135,013,310"
TIC,NYSE:TIC,180,PURE FIRST BREAK,0,07-05-2026,06-08-2026,15,9.51,8.75,8.73,10%,"19,982,412"
APD,NYSE:APD,180,PURE FIRST BREAK,0,06-07-2026,07-08-2026,14,305.1,303.32,0.59,10%,"413,715,608"
AR,NYSE:AR,180,PURE FIRST BREAK,0,30-03-2026,10-08-2026,11,37.94,37.08,2.31,10%,"131,898,405"
FDX,NYSE:FDX,180,PURE FIRST BREAK,0,15-06-2026,10-08-2026,11,325.08,324.19,0.28,10%,"577,569,612"
NE,NYSE:NE,180,PURE FIRST BREAK,0,20-05-2026,10-08-2026,11,46.27,43.28,6.9,10%,"61,034,758"
RIG,NYSE:RIG,180,PURE FIRST BREAK,0,19-05-2026,10-08-2026,11,5.92,5.69,4.04,10%,"174,676,706"
VAL,NYSE:VAL,180,PURE FIRST BREAK,0,18-05-2026,10-08-2026,11,87.76,85.66,2.45,10%,"97,782,194"
SW,NYSE:SW,180,PURE FIRST BREAK,0,28-07-2026,11-08-2026,10,49.39,48.87,1.05,10%,"188,180,837"
DX,NYSE:DX,180,PURE FIRST BREAK,0,16-07-2026,13-08-2026,8,13.03,12.88,1.16,10%,"60,674,194"
MATX,NYSE:MATX,180,PURE FIRST BREAK,0,16-07-2026,14-08-2026,7,222.8,217.07,2.64,10%,"48,525,841"
ABBV,NYSE:ABBV,180,PURE FIRST BREAK,0,29-07-2026,18-08-2026,3,264.96,255.63,3.65,10%,"1,360,675,540"
SOBO,NYSE:SOBO,180,PURE FIRST BREAK,0,24-07-2026,18-08-2026,3,37.72,37.31,1.11,10%,"16,023,457"
WEAV,NYSE:WEAV,180,PURE FIRST BREAK,0,15-07-2026,18-08-2026,3,7.29,7.0,4.12,10%,"32,256,063"
AJG,NYSE:AJG,180,PURE FIRST BREAK,0,30-07-2026,19-08-2026,2,263.81,257.03,2.64,10%,"304,595,023"
J,NYSE:J,180,PURE FIRST BREAK,0,05-08-2026,19-08-2026,2,150.08,147.34,1.86,10%,"133,661,250"
MCO,NYSE:MCO,180,PURE FIRST BREAK,0,17-07-2026,19-08-2026,2,503.32,491.26,2.45,10%,"359,118,825"
NSC,NYSE:NSC,180,PURE FIRST BREAK,0,23-07-2026,19-08-2026,2,350.72,344.5,1.81,10%,"289,414,145"
RHP,NYSE:RHP,180,PURE FIRST BREAK,0,29-07-2026,19-08-2026,2,128.5,126.82,1.32,10%,"54,715,300"
SPGI,NYSE:SPGI,180,PURE FIRST BREAK,0,17-07-2026,19-08-2026,2,431.29,426.9,1.03,10%,"788,096,233"
UNP,NYSE:UNP,180,PURE FIRST BREAK,0,23-07-2026,19-08-2026,2,308.05,302.27,1.91,10%,"826,990,997"
VLTO,NYSE:VLTO,180,PURE FIRST BREAK,0,29-07-2026,19-08-2026,2,98.77,98.75,0.02,10%,"197,707,902"
TFC,NYSE:TFC,365,PURE FIRST BREAK,0,06-02-2026,08-04-2026,135,50.42,49.28,2.31,10%,"312,558,611"
MC,NYSE:MC,365,PURE FIRST BREAK,0,16-01-2026,09-04-2026,134,68.29,64.44,5.98,10%,"49,858,530"
DX,NYSE:DX,365,PURE FIRST BREAK,0,28-01-2026,17-04-2026,126,13.03,12.7,2.57,10%,"60,674,194"
NVO,NYSE:NVO,365,PURE FIRST BREAK,0,23-01-2026,01-05-2026,112,46.74,43.61,7.18,10%,"509,101,446"
HEI-A,NYSE:HEI-A,365,PURE FIRST BREAK,0,13-01-2026,28-05-2026,85,261.0,243.42,7.22,10%,"54,183,600"
BH-A,NYSE:BH-A,365,PURE FIRST BREAK,0,22-01-2026,11-06-2026,71,1951.85,1830.33,6.64,10%,"17,537,372"
ECL,NYSE:ECL,365,PURE FIRST BREAK,0,24-02-2026,16-06-2026,66,281.63,272.38,3.39,10%,"676,869,554"
BH,NYSE:BH,365,PURE FIRST BREAK,0,22-01-2026,24-06-2026,58,388.85,366.82,6.0,10%,"46,350,921"
AVY,NYSE:AVY,365,PURE FIRST BREAK,0,24-02-2026,28-07-2026,24,183.71,169.0,8.71,10%,"87,831,754"
