Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
EXCELSOFT,NSE:EXCELSOFT,WEEKLY,104w,80.09,79.08,1.27,1293.2,26-01-2026,68.0,140,1
EXCELSOFT,NSE:EXCELSOFT,WEEKLY,208w,80.09,79.08,1.27,1293.2,26-01-2026,68.0,140,1
EXCELSOFT,NSE:EXCELSOFT,WEEKLY,52w,80.09,79.08,1.27,1293.2,26-01-2026,68.0,140,1
EXCELSOFT,NSE:EXCELSOFT,WEEKLY,260w,80.09,79.08,1.27,1293.2,26-01-2026,68.0,140,1
BALMLAWRIE,NSE:BALMLAWRIE,WEEKLY,104w,182.71,181.74,0.53,1277.9,03-03-2025,137.94,469,23
HEMIPROP,NSE:HEMIPROP,WEEKLY,52w,141.89,139.44,1.76,1201.8,04-08-2025,123.77,315,29
TCI,NSE:TCI,WEEKLY,156w,928.15,910.5,1.94,1176.7,26-06-2023,688.11,1085,2
TCI,NSE:TCI,WEEKLY,52w,928.15,926.3,0.2,1176.7,19-01-2026,949.84,147,4
AMRUTANJAN,NSE:AMRUTANJAN,WEEKLY,52w,533.75,533.32,0.08,1146.4,26-01-2026,562.61,140,5
STANLEY,NSE:STANLEY,WEEKLY,260w,147.27,147.0,0.18,1121.6,19-01-2026,170.37,147,10
STANLEY,NSE:STANLEY,WEEKLY,52w,147.27,147.0,0.18,1121.6,19-01-2026,170.37,147,10
STANLEY,NSE:STANLEY,WEEKLY,104w,147.27,147.0,0.18,1121.6,19-01-2026,170.37,147,10
STANLEY,NSE:STANLEY,WEEKLY,156w,147.27,147.0,0.18,1121.6,19-01-2026,170.37,147,10
STANLEY,NSE:STANLEY,WEEKLY,208w,147.27,147.0,0.18,1121.6,19-01-2026,170.37,147,10
DHANUKA,NSE:DHANUKA,WEEKLY,52w,1053.2,1043.14,0.96,1068.1,19-01-2026,1017.8,147,6
DHANUKA,NSE:DHANUKA,WEEKLY,104w,1053.2,1043.14,0.96,1068.1,19-01-2026,1017.8,147,6
MHRIL,NSE:MHRIL,WEEKLY,52w,231.13,227.29,1.69,1063.2,26-01-2026,280.1,140,8
RAMCOIND,NSE:RAMCOIND,WEEKLY,104w,297.2,293.69,1.2,1038.9,07-04-2025,214.27,434,14
PRSMJOHNSN,NSE:PRSMJOHNSN,WEEKLY,52w,122.78,122.65,0.11,904.1,26-01-2026,117.32,140,4
GOPAL,NSE:GOPAL,WEEKLY,52w,282.15,276.98,1.87,790.3,19-01-2026,292.32,147,5
SHARDAMOTR,NSE:SHARDAMOTR,WEEKLY,52w,813.65,810.38,0.4,772.7,26-01-2026,815.65,140,5
RAMKY,NSE:RAMKY,WEEKLY,52w,433.0,431.73,0.29,709.8,26-01-2026,434.1,140,0
CYBERTECH,NSE:CYBERTECH,WEEKLY,104w,151.72,151.27,0.3,693.8,07-04-2025,113.15,434,31
JAGRAN,NSE:JAGRAN,WEEKLY,260w,65.52,65.19,0.51,635.8,13-06-2022,34.23,1463,75
JAGRAN,NSE:JAGRAN,WEEKLY,208w,65.52,65.35,0.26,635.8,27-06-2022,35.29,1449,75
UGROCAP,NSE:UGROCAP,WEEKLY,104w,96.95,96.87,0.09,630.6,26-01-2026,139.12,140,9
UGROCAP,NSE:UGROCAP,WEEKLY,52w,96.95,96.87,0.09,630.6,26-01-2026,139.12,140,9
