Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
HINDUNILVR,NSE:HINDUNILVR,DAILY,180d,2182.0,2149.71,1.5,54497.1,02-04-2026,2002.14,90,13
EICHERMOT,NSE:EICHERMOT,DAILY,180d,7139.0,7110.02,0.41,42155.3,07-04-2026,6442.0,85,6
HEROMOTOCO,NSE:HEROMOTOCO,DAILY,180d,4834.9,4833.48,0.03,39654.0,02-06-2026,4747.1,29,2
DABUR,NSE:DABUR,DAILY,180d,444.75,436.22,1.95,38239.6,02-04-2026,403.35,90,22
KAYNES,NSE:KAYNES,DAILY,180d,3152.1,3150.42,0.05,29485.1,20-05-2026,2995.0,42,7
SWIGGY,NSE:SWIGGY,DAILY,180d,246.98,245.86,0.46,25255.1,02-06-2026,244.5,29,4
DIVISLAB,NSE:DIVISLAB,DAILY,180d,6545.5,6481.54,0.99,21206.4,02-04-2026,5647.5,90,0
JSWSTEEL,NSE:JSWSTEEL,DAILY,180d,1216.2,1204.37,0.98,19881.9,18-12-2025,1073.2,195,11
COCHINSHIP,NSE:COCHINSHIP,DAILY,180d,1504.4,1503.03,0.09,19868.4,30-03-2026,1187.0,93,22
JIOFIN,NSE:JIOFIN,DAILY,180d,240.01,237.26,1.16,19103.9,30-03-2026,223.3,93,10
JPPOWER,NSE:JPPOWER,DAILY,180d,17.95,17.63,1.81,18036.1,09-03-2026,13.15,114,1
360ONE,NSE:360ONE,DAILY,180d,1065.9,1053.19,1.21,15947.6,07-04-2026,900.82,85,0
COALINDIA,NSE:COALINDIA,DAILY,180d,434.75,431.53,0.75,14743.3,30-10-2025,364.48,244,2
RVNL,NSE:RVNL,DAILY,180d,237.61,235.84,0.75,13869.3,02-06-2026,232.73,29,2
ULTRACEMCO,NSE:ULTRACEMCO,DAILY,180d,11456.0,11285.69,1.51,13634.1,23-03-2026,10325.0,100,10
VMM,NSE:VMM,DAILY,180d,116.76,114.85,1.66,13379.7,23-03-2026,98.77,100,0
WAAREERTL,NSE:WAAREERTL,DAILY,180d,1040.1,1024.06,1.57,6064.8,30-03-2026,779.5,93,36
DALBHARAT,NSE:DALBHARAT,DAILY,180d,1708.9,1689.28,1.16,4871.0,18-05-2026,1670.21,44,8
JSL,NSE:JSL,DAILY,180d,681.9,680.97,0.14,4809.2,02-06-2026,672.15,29,3
MFSL,NSE:MFSL,DAILY,180d,1608.9,1599.0,0.62,4169.9,02-04-2026,1433.6,90,5
ICICIPRULI,NSE:ICICIPRULI,DAILY,180d,492.95,485.36,1.56,4069.8,02-06-2026,472.86,29,3
EMAMILTD,NSE:EMAMILTD,DAILY,180d,414.7,411.5,0.78,4032.5,02-04-2026,385.5,90,28
JKTYRE,NSE:JKTYRE,DAILY,180d,396.5,389.11,1.9,3824.7,20-05-2026,357.7,42,10
CONCOR,NSE:CONCOR,DAILY,180d,480.25,471.53,1.85,3775.9,23-03-2026,421.45,100,17
IREDA,NSE:IREDA,DAILY,180d,127.93,126.18,1.39,3766.5,30-03-2026,108.08,93,11
EIDPARRY,NSE:EIDPARRY,DAILY,180d,720.75,715.44,0.74,3417.6,02-06-2026,736.0,29,7
ASHAPURMIN,NSE:ASHAPURMIN,DAILY,180d,640.0,630.53,1.5,3289.8,30-03-2026,455.1,93,0
INTELLECT,NSE:INTELLECT,DAILY,180d,726.0,717.76,1.15,2733.8,30-03-2026,595.2,93,7
JSLL,NSE:JSLL,DAILY,180d,587.8,585.04,0.47,2686.3,01-06-2026,492.0,30,3
CRISIL,NSE:CRISIL,DAILY,180d,4081.7,4034.49,1.17,2591.7,02-04-2026,3678.37,90,15
GRAVITA,NSE:GRAVITA,DAILY,180d,1627.2,1598.75,1.78,2215.6,02-04-2026,1266.9,90,2
SUDARSCHEM,NSE:SUDARSCHEM,DAILY,180d,876.8,866.98,1.13,1929.3,30-03-2026,726.4,93,2
RKFORGE,NSE:RKFORGE,DAILY,180d,562.9,555.92,1.26,1470.2,23-03-2026,459.41,100,2
BAJAJHIND,NSE:BAJAJHIND,DAILY,180d,17.73,17.5,1.31,1370.9,25-02-2026,14.85,126,1
CASTROLIND,NSE:CASTROLIND,DAILY,180d,184.33,180.89,1.9,1361.2,24-03-2026,170.1,99,0
ICRA,NSE:ICRA,DAILY,180d,5272.5,5215.99,1.08,1348.9,02-04-2026,4965.5,90,12
BHARATWIRE,NSE:BHARATWIRE,DAILY,180d,215.51,212.89,1.23,1231.8,30-03-2026,148.01,93,7
BECTORFOOD,NSE:BECTORFOOD,DAILY,180d,178.56,175.61,1.68,1039.6,02-06-2026,169.21,29,1
BIKAJI,NSE:BIKAJI,DAILY,180d,648.1,643.16,0.77,1030.2,16-03-2026,592.55,107,2
HERITGFOOD,NSE:HERITGFOOD,DAILY,180d,333.2,331.57,0.49,964.9,30-03-2026,292.55,93,30
MAHSEAMLES,NSE:MAHSEAMLES,DAILY,180d,596.1,584.53,1.98,845.5,27-01-2026,500.7,155,0
GMMPFAUDLR,NSE:GMMPFAUDLR,DAILY,180d,776.65,765.32,1.48,828.5,29-05-2026,755.55,33,2
ALOKINDS,NSE:ALOKINDS,DAILY,180d,12.95,12.75,1.58,705.9,30-03-2026,11.11,93,19
IOB,NSE:IOB,DAILY,180d,34.17,33.87,0.88,681.3,30-03-2026,31.2,93,23
PROTEAN,NSE:PROTEAN,DAILY,180d,589.4,579.89,1.64,645.1,30-03-2026,444.0,93,0
BFUTILITIE,NSE:BFUTILITIE,DAILY,180d,581.55,580.48,0.18,639.0,30-03-2026,368.7,93,1
TEGA,NSE:TEGA,DAILY,180d,1660.4,1643.42,1.03,544.7,29-05-2026,1522.2,33,0
ADVANCE,NSE:ADVANCE,DAILY,180d,106.83,104.87,1.87,523.9,30-03-2026,84.1,93,28
JYOTISTRUC,NSE:JYOTISTRUC,DAILY,180d,11.48,11.26,1.99,473.1,21-01-2026,7.94,161,7
HEMIPROP,NSE:HEMIPROP,DAILY,180d,138.17,137.32,0.62,447.0,30-03-2026,111.2,93,1
LUXIND,NSE:LUXIND,DAILY,180d,1235.9,1229.86,0.49,433.3,30-03-2026,824.05,93,3
