Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
ROLEXRINGS,NSE:ROLEXRINGS,MONTHLY,60mo,141.5,137.47,2.93,13176.6,01-11-2021,99.48,1673,14
ROLEXRINGS,NSE:ROLEXRINGS,MONTHLY,120mo,141.5,137.47,2.93,13176.6,01-11-2021,99.48,1673,14
UBL,NSE:UBL,MONTHLY,84mo,1329.0,1326.87,0.16,12844.0,01-03-2020,731.47,2283,1
GILLETTE,NSE:GILLETTE,MONTHLY,36mo,7657.5,7456.41,2.7,12095.1,01-07-2023,4768.01,1066,1
ABBOTINDIA,NSE:ABBOTINDIA,MONTHLY,36mo,26105.0,25698.99,1.58,12022.7,01-09-2023,21388.86,1004,1
BERGEPAINT,NSE:BERGEPAINT,MONTHLY,36mo,501.9,486.86,3.09,11917.3,01-06-2024,433.3,730,4
BERGEPAINT,NSE:BERGEPAINT,MONTHLY,60mo,501.9,496.71,1.04,11917.3,01-02-2023,431.6,1216,5
WAAREERTL,NSE:WAAREERTL,MONTHLY,36mo,968.75,943.4,2.69,11248.4,01-04-2025,841.15,426,4
WAAREERTL,NSE:WAAREERTL,MONTHLY,120mo,968.75,943.4,2.69,11248.4,01-04-2025,841.15,426,4
WAAREERTL,NSE:WAAREERTL,MONTHLY,84mo,968.75,943.4,2.69,11248.4,01-04-2025,841.15,426,4
WAAREERTL,NSE:WAAREERTL,MONTHLY,60mo,968.75,943.4,2.69,11248.4,01-04-2025,841.15,426,4
MOIL,NSE:MOIL,MONTHLY,60mo,291.8,289.85,0.67,10782.7,01-06-2022,125.5,1461,1
PNGJL,NSE:PNGJL,MONTHLY,36mo,543.9,540.82,0.57,10273.2,01-04-2025,473.8,426,1
PNGJL,NSE:PNGJL,MONTHLY,60mo,543.9,540.82,0.57,10273.2,01-04-2025,473.8,426,1
PNGJL,NSE:PNGJL,MONTHLY,84mo,543.9,540.82,0.57,10273.2,01-04-2025,473.8,426,1
PNGJL,NSE:PNGJL,MONTHLY,120mo,543.9,540.82,0.57,10273.2,01-04-2025,473.8,426,1
PVRINOX,NSE:PVRINOX,MONTHLY,36mo,966.75,955.97,1.13,9217.1,01-04-2025,830.0,426,1
PVRINOX,NSE:PVRINOX,MONTHLY,60mo,966.75,955.97,1.13,9217.1,01-04-2025,830.0,426,1
GANECOS,NSE:GANECOS,MONTHLY,84mo,925.65,892.45,3.72,8835.1,01-03-2020,138.07,2283,5
GANECOS,NSE:GANECOS,MONTHLY,120mo,925.65,892.45,3.72,8835.1,01-03-2020,138.07,2283,5
AWHCL,NSE:AWHCL,MONTHLY,84mo,446.05,432.5,3.13,8470.2,01-05-2022,234.0,1492,4
AWHCL,NSE:AWHCL,MONTHLY,120mo,446.05,432.5,3.13,8470.2,01-05-2022,234.0,1492,4
AWHCL,NSE:AWHCL,MONTHLY,60mo,446.05,432.5,3.13,8470.2,01-05-2022,234.0,1492,4
SIRCA,NSE:SIRCA,MONTHLY,36mo,418.65,413.63,1.21,7233.3,01-04-2025,229.94,426,1
HEMIPROP,NSE:HEMIPROP,MONTHLY,36mo,142.98,142.05,0.66,6871.3,01-07-2023,98.3,1066,8
HEMIPROP,NSE:HEMIPROP,MONTHLY,60mo,142.98,139.4,2.57,6871.3,01-03-2023,79.9,1188,7
LUXIND,NSE:LUXIND,MONTHLY,60mo,1317.7,1289.99,2.15,6200.3,01-03-2024,1069.14,822,14
LUXIND,NSE:LUXIND,MONTHLY,36mo,1317.7,1289.99,2.15,6200.3,01-03-2024,1069.14,822,14
FINPIPE,NSE:FINPIPE,MONTHLY,36mo,173.03,172.65,0.22,6143.2,01-04-2025,151.38,426,3
CHALET,NSE:CHALET,MONTHLY,36mo,759.6,738.06,2.92,6068.7,01-07-2023,430.02,1066,1
AKZOINDIA,NSE:AKZOINDIA,MONTHLY,36mo,3116.8,3034.92,2.7,6027.7,01-03-2024,2093.78,822,4
JSWDULUX,NSE:JSWDULUX,MONTHLY,36mo,3116.8,3034.92,2.7,6027.7,01-03-2024,2093.78,822,4
JASH,NSE:JASH,MONTHLY,36mo,446.85,432.26,3.37,5950.2,01-07-2023,229.59,1066,6
GREENLAM,NSE:GREENLAM,MONTHLY,36mo,234.47,230.11,1.9,5810.9,01-09-2023,193.25,1004,3
SIYSIL,NSE:SIYSIL,MONTHLY,36mo,628.85,608.79,3.29,5366.0,01-06-2024,392.58,730,6
SOLEX,NSE:SOLEX,MONTHLY,36mo,1066.9,1060.31,0.62,4898.2,01-01-2024,414.66,882,4
RIIL,NSE:RIIL,MONTHLY,120mo,778.1,772.21,0.76,4655.4,01-03-2020,158.16,2283,3
RIIL,NSE:RIIL,MONTHLY,84mo,778.1,772.21,0.76,4655.4,01-03-2020,158.16,2283,3
KSCL,NSE:KSCL,MONTHLY,36mo,869.15,838.1,3.71,4230.7,01-07-2023,498.3,1066,2
NELCO,NSE:NELCO,MONTHLY,60mo,698.78,682.61,2.37,4119.0,01-07-2021,349.05,1796,3
SDBL,NSE:SDBL,MONTHLY,120mo,74.39,74.12,0.37,4113.6,01-08-2020,8.83,2130,1
SDBL,NSE:SDBL,MONTHLY,84mo,74.39,74.12,0.37,4113.6,01-08-2020,8.83,2130,1
MAHSEAMLES,NSE:MAHSEAMLES,MONTHLY,36mo,610.05,606.18,0.64,4071.5,01-07-2023,426.03,1066,7
NFL,NSE:NFL,MONTHLY,84mo,74.36,72.48,2.6,4035.4,01-03-2020,13.17,2283,1
NFL,NSE:NFL,MONTHLY,120mo,74.36,72.48,2.6,4035.4,01-03-2020,13.17,2283,1
ARIS,NSE:ARIS,MONTHLY,36mo,115.61,112.79,2.5,4028.6,01-07-2025,136.0,335,5
ARIS,NSE:ARIS,MONTHLY,84mo,115.61,112.79,2.5,4028.6,01-07-2025,136.0,335,5
ARIS,NSE:ARIS,MONTHLY,120mo,115.61,112.79,2.5,4028.6,01-07-2025,136.0,335,5
ARIS,NSE:ARIS,MONTHLY,60mo,115.61,112.79,2.5,4028.6,01-07-2025,136.0,335,5
VRLLOG,NSE:VRLLOG,MONTHLY,36mo,241.22,239.63,0.66,3924.6,01-01-2025,209.57,516,1
DCMSHRIRAM,NSE:DCMSHRIRAM,MONTHLY,60mo,1025.2,1015.78,0.93,3860.4,01-03-2023,712.85,1188,1
