Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
FLXR,NYSE:FLXR,DAILY,365d,38.28,37.73,1.45,200.3,09-04-2025,35.38,527,0
TR,NYSE:TR,DAILY,365d,37.6,36.86,2.0,169.7,09-04-2025,27.95,527,5
PSUS,NYSE:PSUS,DAILY,180d,38.9,38.34,1.46,168.6,29-07-2026,35.71,51,3
MCB,NYSE:MCB,DAILY,180d,89.19,87.66,1.75,165.4,08-01-2026,73.4,253,23
DNA,NYSE:DNA,DAILY,180d,7.88,7.86,0.29,138.8,30-03-2026,5.37,172,29
KREF,NYSE:KREF,DAILY,180d,6.79,6.71,1.16,131.1,23-04-2026,5.18,148,0
LOB,NYSE:LOB,DAILY,180d,38.25,37.61,1.7,130.2,09-03-2026,31.06,193,2
CTOS,NYSE:CTOS,DAILY,180d,9.33,9.25,0.82,125.1,11-03-2026,5.5,191,7
UTL,NYSE:UTL,DAILY,180d,51.92,50.94,1.92,117.7,05-01-2026,46.8,256,7
PMMF,NYSE:PMMF,DAILY,180d,100.27,99.09,1.19,103.2,31-12-2025,97.73,261,0
