Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
DEEPINDS,NSE:DEEPINDS,52,PURE FIRST BREAK,0,01-09-2025,06-04-2026,11,480.8,470.7,2.15,10%,"261,385,471"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,11,442.25,430.84,2.65,10%,"40,306,665"
LT,NSE:LT,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,11,4179.4,3978.05,5.06,10%,"23,263,058,102"
PHOENIXLTD,NSE:PHOENIXLTD,52,PURE FIRST BREAK,0,12-01-2026,06-04-2026,11,1851.6,1771.97,4.49,10%,"1,726,726,222"
SUVEN,NSE:SUVEN,52,PURE FIRST BREAK,0,14-07-2025,06-04-2026,11,258.3,243.27,6.18,10%,"1,206,461,125"
BALRAMCHIN,NSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,9,532.9,517.46,2.98,10%,"471,168,886"
JSFB,NSE:JSFB,52,PURE FIRST BREAK,0,23-06-2025,20-04-2026,9,461.95,458.91,0.66,10%,"682,547,311"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,9,510.5,498.91,2.32,10%,"63,108,010"
WEBELSOLAR,NSE:WEBELSOLAR,52,PURE FIRST BREAK,0,11-08-2025,20-04-2026,9,102.68,101.77,0.89,10%,"566,963,640"
AERONEU,NSE:AERONEU,52,PURE FIRST BREAK,0,08-09-2025,27-04-2026,8,90.24,89.13,1.25,10%,"15,683,080"
FLUOROCHEM,NSE:FLUOROCHEM,52,PURE FIRST BREAK,0,22-09-2025,27-04-2026,8,3890.9,3639.19,6.92,10%,"1,377,845,473"
MIDHANI,NSE:MIDHANI,52,PURE FIRST BREAK,0,23-06-2025,27-04-2026,8,438.15,398.57,9.93,10%,"1,136,016,464"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,7,2661.2,2605.66,2.13,10%,"9,041,977,702"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,7,972.1,948.01,2.54,10%,"2,928,877,928"
IIFLCAPS,NSE:IIFLCAPS,52,PURE FIRST BREAK,0,05-01-2026,04-05-2026,7,343.4,342.23,0.34,10%,"609,609,850"
KANSAINER,NSE:KANSAINER,52,PURE FIRST BREAK,0,22-12-2025,04-05-2026,7,215.58,214.49,0.51,10%,"192,002,664"
RITCO,NSE:RITCO,52,PURE FIRST BREAK,0,14-07-2025,11-05-2026,6,264.9,262.02,1.1,10%,"50,533,382"
SAMMAANCAP,NSE:SAMMAANCAP,52,PURE FIRST BREAK,0,03-11-2025,18-05-2026,5,172.69,162.61,6.2,10%,"4,723,124,583"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,4,155.31,146.33,6.14,10%,"62,209,109"
DIAMONDYD,NSE:DIAMONDYD,52,PURE FIRST BREAK,0,29-12-2025,25-05-2026,4,1110.5,1109.59,0.08,10%,"96,052,698"
EXIDEIND,NSE:EXIDEIND,52,PURE FIRST BREAK,0,08-09-2025,25-05-2026,4,379.05,373.76,1.41,10%,"2,113,030,835"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,4,16201.0,15360.97,5.47,10%,"247,292,064"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,4,347.35,329.98,5.26,10%,"92,929,326"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,4,98.64,97.38,1.29,10%,"20,248,918"
FILATEX,NSE:FILATEX,52,PURE FIRST BREAK,0,03-11-2025,01-06-2026,3,53.41,51.85,3.01,10%,"178,884,136"
GREENPLY,NSE:GREENPLY,52,PURE FIRST BREAK,0,21-07-2025,01-06-2026,3,295.7,287.07,3.01,10%,"118,776,485"
GUFICBIO,NSE:GUFICBIO,52,PURE FIRST BREAK,0,28-07-2025,01-06-2026,3,370.25,353.72,4.67,10%,"107,280,308"
PSPPROJECT,NSE:PSPPROJECT,52,PURE FIRST BREAK,0,10-11-2025,01-06-2026,3,962.05,881.03,9.2,10%,"420,513,012"
QUESS,NSE:QUESS,52,PURE FIRST BREAK,0,14-07-2025,01-06-2026,3,251.05,236.03,6.36,10%,"466,515,426"
