Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
BAJFINANCE,NSE:BAJFINANCE,180,PURE FIRST BREAK,0,23-02-2026,08-04-2026,83,1004.75,919.18,9.31,10%,"12,504,535,745"
IKS,NSE:IKS,180,PURE FIRST BREAK,0,11-02-2026,08-04-2026,83,1679.4,1557.81,7.8,10%,"119,527,938"
LT,NSE:LT,180,PURE FIRST BREAK,0,24-02-2026,08-04-2026,83,4143.4,3902.7,6.17,10%,"6,377,081,929"
ELLEN,NSE:ELLEN,180,PURE FIRST BREAK,0,02-01-2026,10-04-2026,81,264.85,253.18,4.61,10%,"34,898,756"
AARTIDRUGS,NSE:AARTIDRUGS,180,PURE FIRST BREAK,0,03-02-2026,15-04-2026,76,377.9,376.08,0.48,10%,"177,531,749"
ASIANPAINT,NSE:ASIANPAINT,180,PURE FIRST BREAK,0,13-01-2026,15-04-2026,76,2635.7,2505.6,5.19,10%,"4,800,872,111"
BFUTILITIE,NSE:BFUTILITIE,180,PURE FIRST BREAK,0,02-01-2026,15-04-2026,76,608.5,585.17,3.99,10%,"28,205,192"
FIEMIND,NSE:FIEMIND,180,PURE FIRST BREAK,0,11-02-2026,15-04-2026,76,2261.3,2260.9,0.02,10%,"46,842,831"
LICI,NSE:LICI,180,PURE FIRST BREAK,0,09-02-2026,15-04-2026,76,431.65,407.38,5.96,10%,"1,750,933,812"
ROSSARI,NSE:ROSSARI,180,PURE FIRST BREAK,0,30-01-2026,16-04-2026,75,525.35,517.37,1.54,10%,"22,876,365"
TSFINV,NSE:TSFINV,180,PURE FIRST BREAK,0,04-02-2026,17-04-2026,74,440.15,413.03,6.56,10%,"117,418,374"
GUJTHEM,NSE:GUJTHEM,180,PURE FIRST BREAK,0,02-01-2026,20-04-2026,71,397.5,377.18,5.39,10%,"54,867,322"
AJAXENGG,NSE:AJAXENGG,180,PURE FIRST BREAK,0,06-01-2026,21-04-2026,70,541.75,522.57,3.67,10%,"12,909,902"
WEL,NSE:WEL,180,PURE FIRST BREAK,0,16-01-2026,21-04-2026,70,102.14,96.89,5.42,10%,"90,473,058"
JUBLPHARMA,NSE:JUBLPHARMA,180,PURE FIRST BREAK,0,07-01-2026,22-04-2026,69,970.9,940.46,3.24,10%,"186,552,614"
HCG,NSE:HCG,180,PURE FIRST BREAK,0,13-01-2026,04-05-2026,57,627.1,603.32,3.94,10%,"215,762,526"
SUNDRMFAST,NSE:SUNDRMFAST,180,PURE FIRST BREAK,0,30-01-2026,04-05-2026,57,934.15,858.34,8.83,10%,"253,199,496"
TEAMLEASE,NSE:TEAMLEASE,180,PURE FIRST BREAK,0,06-01-2026,06-05-2026,55,1445.1,1349.3,7.1,10%,"73,739,116"
KILITCH,NSE:KILITCH,180,PURE FIRST BREAK,0,05-02-2026,18-05-2026,43,194.73,177.47,9.72,10%,"36,154,739"
DIAMONDYD,NSE:DIAMONDYD,180,PURE FIRST BREAK,0,02-01-2026,26-05-2026,35,1150.6,1087.49,5.8,10%,"38,488,720"
SURYAROSNI,NSE:SURYAROSNI,180,PURE FIRST BREAK,0,06-05-2026,03-06-2026,27,258.73,255.27,1.36,10%,"101,838,978"
CONCORDBIO,NSE:CONCORDBIO,180,PURE FIRST BREAK,0,07-01-2026,09-06-2026,21,1280.2,1252.49,2.21,10%,"105,476,954"
GENESYS,NSE:GENESYS,180,PURE FIRST BREAK,0,09-01-2026,10-06-2026,20,319.4,303.67,5.18,10%,"95,613,346"
JTLIND,NSE:JTLIND,180,PURE FIRST BREAK,0,11-05-2026,12-06-2026,18,79.59,77.0,3.36,10%,"150,560,714"
AUBANK,NSE:AUBANK,180,PURE FIRST BREAK,0,24-04-2026,15-06-2026,15,1037.05,1027.69,0.91,10%,"2,071,827,921"
MANAPPURAM,NSE:MANAPPURAM,180,PURE FIRST BREAK,0,25-05-2026,15-06-2026,15,324.2,317.6,2.08,10%,"873,452,216"
MUTHOOTMF,NSE:MUTHOOTMF,180,PURE FIRST BREAK,0,07-05-2026,15-06-2026,15,214.37,199.71,7.34,10%,"93,665,968"
TITAN,NSE:TITAN,180,PURE FIRST BREAK,0,08-05-2026,15-06-2026,15,4404.0,4286.24,2.75,10%,"5,476,215,456"
KAJARIACER,NSE:KAJARIACER,180,PURE FIRST BREAK,0,28-04-2026,17-06-2026,13,1210.4,1156.1,4.7,10%,"385,459,150"
TRIVENI,NSE:TRIVENI,180,PURE FIRST BREAK,0,23-04-2026,17-06-2026,13,422.55,402.9,4.88,10%,"194,256,371"
BHEL,NSE:BHEL,180,PURE FIRST BREAK,0,29-05-2026,18-06-2026,12,414.1,408.88,1.28,10%,"7,678,364,887"
DYCL,NSE:DYCL,180,PURE FIRST BREAK,0,08-05-2026,18-06-2026,12,367.75,366.6,0.31,10%,"87,213,384"
