Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
KAJARIACER,NSE:KAJARIACER,52,PURE FIRST BREAK,0,18-08-2025,06-04-2026,19,1208.9,1138.02,6.23,10%,"685,593,800"
TIINDIA,NSE:TIINDIA,52,PURE FIRST BREAK,0,15-09-2025,13-04-2026,18,2961.0,2876.67,2.93,10%,"15,463,174,041"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,15,233.7,227.27,2.83,10%,"192,435,355"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,18-08-2025,11-05-2026,14,100.1,94.54,5.88,10%,"13,494,781"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,11,1594.2,1501.63,6.16,10%,"186,162,699"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,9,723.35,713.7,1.35,10%,"2,608,631,484"
ORIENTHOT,NSE:ORIENTHOT,52,PURE FIRST BREAK,0,08-09-2025,15-06-2026,9,139.5,133.92,4.17,10%,"6,968,637,963"
INDIGO,NSE:INDIGO,52,PURE FIRST BREAK,0,18-08-2025,22-06-2026,8,5193.0,5188.5,0.09,10%,"6,485,272,857"
BLUEJET,NSE:BLUEJET,52,PURE FIRST BREAK,0,18-08-2025,29-06-2026,7,592.3,558.06,6.14,10%,"1,717,997,506"
CHOICEIN,NSE:CHOICEIN,52,PURE FIRST BREAK,0,05-01-2026,29-06-2026,7,800.45,763.94,4.78,10%,"1,166,767,956"
MAHLIFE,NSE:MAHLIFE,52,PURE FIRST BREAK,0,01-12-2025,29-06-2026,7,373.7,372.91,0.21,10%,"496,383,858"
OPTIEMUS,NSE:OPTIEMUS,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,7,546.7,524.93,4.15,10%,"279,862,843"
