Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
ALKYLAMINE,NSE:ALKYLAMINE,52,PURE FIRST BREAK,0,25-08-2025,04-05-2026,14,1923.1,1768.16,8.76,10%,"550,160,441"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,14,2755.5,2636.2,4.53,10%,"8,696,380,044"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,14,242.8,226.98,6.97,10%,"875,639,515"
MOLDTKPAC,NSE:MOLDTKPAC,52,PURE FIRST BREAK,0,01-09-2025,11-05-2026,13,694.4,685.89,1.24,10%,"100,004,020"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,18-08-2025,11-05-2026,13,101.55,94.49,7.47,10%,"19,761,529"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,10,949.75,935.34,1.54,10%,"384,948,871"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,10,1635.5,1498.43,9.15,10%,"607,527,736"
ACE,NSE:ACE,52,PURE FIRST BREAK,0,15-09-2025,15-06-2026,8,1078.3,999.22,7.91,10%,"1,527,313,894"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,8,721.75,713.64,1.14,10%,"4,005,465,662"
KRONOX,NSE:KRONOX,52,PURE FIRST BREAK,0,15-09-2025,15-06-2026,8,155.14,155.02,0.07,10%,"242,817,991"
INDIGO,NSE:INDIGO,52,PURE FIRST BREAK,0,18-08-2025,22-06-2026,7,5370.0,5189.11,3.49,10%,"8,339,964,420"
KICL,NSE:KICL,52,PURE FIRST BREAK,0,27-10-2025,22-06-2026,7,5459.0,5345.56,2.12,10%,"62,729,369"
3MINDIA,NSE:3MINDIA,52,PURE FIRST BREAK,0,09-02-2026,29-06-2026,6,36165.0,34412.38,5.09,10%,"428,916,900"
AVG,NSE:AVG,52,PURE FIRST BREAK,0,06-10-2025,29-06-2026,6,207.3,193.59,7.08,10%,"26,954,183"
BLUEJET,NSE:BLUEJET,52,PURE FIRST BREAK,0,11-08-2025,29-06-2026,6,594.6,561.02,5.99,10%,"1,204,683,335"
CHOICEIN,NSE:CHOICEIN,52,PURE FIRST BREAK,0,05-01-2026,29-06-2026,6,810.25,762.97,6.2,10%,"1,572,727,660"
DDEVPLSTIK,NSE:DDEVPLSTIK,52,PURE FIRST BREAK,0,06-10-2025,29-06-2026,6,285.3,284.65,0.23,10%,"416,268,088"
