Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,131,46.49,45.2,2.86,10%,"29,553,415"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,26-02-2026,15-06-2026,70,286.98,272.11,5.46,10%,"477,673,637"
QGEN,NYSE:QGEN,180,PURE FIRST BREAK,0,27-02-2026,24-06-2026,61,41.78,40.03,4.37,10%,"360,133,479"
RSG,NYSE:RSG,180,PURE FIRST BREAK,0,03-03-2026,24-06-2026,61,223.08,214.39,4.05,10%,"303,911,702"
BFAM,NYSE:BFAM,180,PURE FIRST BREAK,0,22-04-2026,26-06-2026,59,74.08,71.78,3.2,10%,"45,675,210"
DFIN,NYSE:DFIN,180,PURE FIRST BREAK,0,21-04-2026,01-07-2026,54,47.39,44.72,5.97,10%,"14,090,326"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,49,323.77,302.25,7.12,10%,"244,973,439"
DG,NYSE:DG,180,PURE FIRST BREAK,0,26-02-2026,13-07-2026,42,125.33,120.96,3.61,10%,"266,865,925"
PUK,NYSE:PUK,180,PURE FIRST BREAK,0,06-05-2026,13-07-2026,42,28.5,28.43,0.25,10%,"16,773,105"
AORT,NYSE:AORT,180,PURE FIRST BREAK,0,21-04-2026,16-07-2026,39,26.89,25.73,4.52,10%,"27,858,120"
TTE,NYSE:TTE,180,PURE FIRST BREAK,0,18-05-2026,22-07-2026,33,89.35,85.12,4.97,10%,"160,484,660"
T,NYSE:T,180,PURE FIRST BREAK,0,24-03-2026,24-07-2026,31,25.69,23.87,7.64,10%,"674,170,610"
JBS,NYSE:JBS,180,PURE FIRST BREAK,0,10-04-2026,27-07-2026,28,13.88,13.44,3.26,10%,"77,325,744"
KVUE,NYSE:KVUE,180,PURE FIRST BREAK,0,07-07-2026,27-07-2026,28,19.43,19.26,0.88,10%,"312,744,003"
CSL,NYSE:CSL,180,PURE FIRST BREAK,0,29-06-2026,30-07-2026,25,362.52,361.53,0.27,10%,"153,995,229"
EW,NYSE:EW,180,PURE FIRST BREAK,0,07-07-2026,03-08-2026,21,90.5,89.49,1.13,10%,"246,341,996"
HPE,NYSE:HPE,180,PURE FIRST BREAK,0,02-06-2026,04-08-2026,20,52.43,52.09,0.64,10%,"549,330,347"
WTS,NYSE:WTS,180,PURE FIRST BREAK,0,30-06-2026,05-08-2026,19,372.8,369.59,0.87,10%,"53,431,185"
LDOS,NYSE:LDOS,180,PURE FIRST BREAK,0,03-03-2026,06-08-2026,18,138.43,133.03,4.06,10%,"100,372,404"
TIC,NYSE:TIC,180,PURE FIRST BREAK,0,07-05-2026,06-08-2026,18,9.28,8.75,6.02,10%,"10,690,383"
APD,NYSE:APD,180,PURE FIRST BREAK,0,06-07-2026,07-08-2026,17,306.24,303.41,0.93,10%,"362,002,311"
AR,NYSE:AR,180,PURE FIRST BREAK,0,30-03-2026,10-08-2026,14,37.9,37.09,2.18,10%,"133,961,232"
FDX,NYSE:FDX,180,PURE FIRST BREAK,0,15-06-2026,10-08-2026,14,334.05,324.36,2.99,10%,"497,637,941"
NE,NYSE:NE,180,PURE FIRST BREAK,0,20-05-2026,10-08-2026,14,45.98,43.33,6.11,10%,"79,079,990"
RIG,NYSE:RIG,180,PURE FIRST BREAK,0,19-05-2026,10-08-2026,14,5.77,5.69,1.37,10%,"213,556,995"
VAL,NYSE:VAL,180,PURE FIRST BREAK,0,18-05-2026,10-08-2026,14,85.81,85.66,0.17,10%,"35,167,425"
DX,NYSE:DX,180,PURE FIRST BREAK,0,16-07-2026,13-08-2026,11,13.05,12.89,1.26,10%,"70,406,043"
LTH,NYSE:LTH,180,PURE FIRST BREAK,0,30-07-2026,14-08-2026,10,45.73,45.36,0.83,10%,"115,688,347"
MATX,NYSE:MATX,180,PURE FIRST BREAK,0,16-07-2026,14-08-2026,10,222.68,217.53,2.37,10%,"95,383,639"
MTG,NYSE:MTG,180,PURE FIRST BREAK,0,30-07-2026,14-08-2026,10,31.1,31.0,0.32,10%,"32,863,402"
ABBV,NYSE:ABBV,180,PURE FIRST BREAK,0,29-07-2026,18-08-2026,6,264.52,256.03,3.31,10%,"1,024,732,979"
EIX,NYSE:EIX,180,PURE FIRST BREAK,0,28-07-2026,18-08-2026,6,73.97,73.27,0.96,10%,"133,392,396"
WEAV,NYSE:WEAV,180,PURE FIRST BREAK,0,15-07-2026,18-08-2026,6,7.29,7.01,3.96,10%,"24,773,323"
MCO,NYSE:MCO,180,PURE FIRST BREAK,0,17-07-2026,19-08-2026,5,511.35,491.88,3.96,10%,"335,361,231"
NSC,NYSE:NSC,180,PURE FIRST BREAK,0,23-07-2026,19-08-2026,5,352.98,344.9,2.34,10%,"451,105,983"
RHP,NYSE:RHP,180,PURE FIRST BREAK,0,29-07-2026,19-08-2026,5,131.13,126.99,3.26,10%,"91,070,706"
SPGI,NYSE:SPGI,180,PURE FIRST BREAK,0,17-07-2026,19-08-2026,5,435.42,427.31,1.9,10%,"803,225,830"
UNP,NYSE:UNP,180,PURE FIRST BREAK,0,23-07-2026,19-08-2026,5,309.86,302.57,2.41,10%,"702,047,290"
VLTO,NYSE:VLTO,180,PURE FIRST BREAK,0,29-07-2026,19-08-2026,5,99.37,98.86,0.52,10%,"185,956,949"
AHR,NYSE:AHR,180,PURE FIRST BREAK,0,28-07-2026,20-08-2026,4,56.19,55.36,1.5,10%,"143,867,917"
APLE,NYSE:APLE,180,PURE FIRST BREAK,0,06-08-2026,20-08-2026,4,16.59,16.47,0.73,10%,"32,263,934"
ARE,NYSE:ARE,180,PURE FIRST BREAK,0,29-07-2026,20-08-2026,4,54.04,51.49,4.96,10%,"130,930,060"
AVTR,NYSE:AVTR,180,PURE FIRST BREAK,0,29-07-2026,20-08-2026,4,14.26,14.14,0.82,10%,"74,047,960"
BTGO,NYSE:BTGO,180,PURE FIRST BREAK,0,11-05-2026,20-08-2026,4,6.8,6.35,7.16,10%,"16,768,970"
SQM,NYSE:SQM,180,PURE FIRST BREAK,0,07-05-2026,20-08-2026,4,82.33,78.61,4.73,10%,"103,773,262"
XXI,NYSE:XXI,180,PURE FIRST BREAK,0,05-05-2026,20-08-2026,4,6.31,6.01,4.99,10%,"11,991,297"
TFC,NYSE:TFC,365,PURE FIRST BREAK,0,06-02-2026,08-04-2026,138,50.81,49.29,3.09,10%,"209,869,339"
MC,NYSE:MC,365,PURE FIRST BREAK,0,16-01-2026,09-04-2026,137,68.5,64.45,6.28,10%,"38,215,944"
DX,NYSE:DX,365,PURE FIRST BREAK,0,28-01-2026,17-04-2026,129,13.05,12.71,2.7,10%,"70,406,043"
NVO,NYSE:NVO,365,PURE FIRST BREAK,0,23-01-2026,01-05-2026,115,46.92,43.62,7.56,10%,"452,775,261"
DEI,NYSE:DEI,365,PURE FIRST BREAK,0,11-09-2025,05-05-2026,111,11.95,11.42,4.63,10%,"11,301,999"
HEI-A,NYSE:HEI-A,365,PURE FIRST BREAK,0,13-01-2026,28-05-2026,88,259.23,243.5,6.46,10%,"52,061,682"
BH-A,NYSE:BH-A,365,PURE FIRST BREAK,0,22-01-2026,11-06-2026,74,1932.49,1831.11,5.54,10%,"24,287,534"
ECL,NYSE:ECL,365,PURE FIRST BREAK,0,24-02-2026,16-06-2026,69,286.98,272.51,5.31,10%,"477,673,637"
BH,NYSE:BH,365,PURE FIRST BREAK,0,22-01-2026,24-06-2026,61,378.04,366.9,3.04,10%,"17,947,071"
AVY,NYSE:AVY,365,PURE FIRST BREAK,0,24-02-2026,28-07-2026,27,183.69,169.12,8.62,10%,"118,755,219"
MNTN,NYSE:MNTN,365,PURE FIRST BREAK,0,25-08-2025,13-08-2026,11,12.93,12.04,7.43,10%,"11,923,193"
ACN,NYSE:ACN,365,PURE FIRST BREAK,0,14-01-2026,19-08-2026,5,186.53,180.66,3.25,10%,"1,247,426,642"
INVH,NYSE:INVH,550,PURE FIRST BREAK,0,02-05-2025,28-04-2026,118,30.46,28.18,8.09,10%,"82,961,615"
COLD,NYSE:COLD,550,PURE FIRST BREAK,0,27-02-2025,07-05-2026,109,15.11,13.8,9.5,10%,"73,390,114"
GRND,NYSE:GRND,550,PURE FIRST BREAK,0,02-06-2025,01-07-2026,54,15.58,15.25,2.16,10%,"14,825,383"
DLB,NYSE:DLB,550,PURE FIRST BREAK,0,07-03-2025,20-08-2026,4,66.05,64.05,3.12,10%,"66,549,209"
AVTR,NYSE:AVTR,730,PURE FIRST BREAK,0,19-09-2024,29-07-2026,26,14.26,13.52,5.47,10%,"74,047,960"
