Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
DJML,NSE:DJML,52,PURE FIRST BREAK,0,14-07-2025,02-02-2026,23,101.01,99.07,1.96,10%,"101,066,265"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,14,436.05,432.29,0.87,10%,"20,803,509"
TIINDIA,NSE:TIINDIA,52,PURE FIRST BREAK,0,15-09-2025,13-04-2026,13,2939.7,2870.12,2.42,10%,"1,248,552,303"
BHAGCHEM,NSE:BHAGCHEM,52,PURE FIRST BREAK,0,28-07-2025,20-04-2026,12,280.1,258.34,8.42,10%,"85,477,839"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,12,528.75,504.19,4.87,10%,"183,537,056"
MIDHANI,NSE:MIDHANI,52,PURE FIRST BREAK,0,14-07-2025,27-04-2026,11,413.95,395.72,4.61,10%,"921,687,437"
ARTEMISMED,NSE:ARTEMISMED,52,PURE FIRST BREAK,0,17-11-2025,04-05-2026,10,276.2,267.91,3.09,10%,"191,912,607"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,10,2670.0,2619.76,1.92,10%,"9,882,353,520"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,10,976.15,950.89,2.66,10%,"3,182,075,325"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,10,228.92,220.72,3.72,10%,"115,884,110"
RITCO,NSE:RITCO,52,PURE FIRST BREAK,0,14-07-2025,11-05-2026,9,270.8,262.54,3.15,10%,"106,090,499"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,7,159.99,153.8,4.03,10%,"76,865,278"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,7,16364.0,15399.1,6.27,10%,"154,950,716"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,7,358.55,331.12,8.29,10%,"127,998,043"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,7,98.57,97.82,0.76,10%,"48,261,449"
GREENPLY,NSE:GREENPLY,52,PURE FIRST BREAK,0,21-07-2025,01-06-2026,6,316.25,288.09,9.78,10%,"85,493,128"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,6,1599.6,1478.51,8.19,10%,"96,271,925"
RELIABLE,NSE:RELIABLE,52,PURE FIRST BREAK,0,02-02-2026,01-06-2026,6,148.42,142.6,4.08,10%,"14,572,914"
CERA,NSE:CERA,52,PURE FIRST BREAK,0,14-07-2025,08-06-2026,5,6107.0,5901.45,3.48,10%,"239,589,824"
IDFCFIRSTB,NSE:IDFCFIRSTB,52,PURE FIRST BREAK,0,29-12-2025,08-06-2026,5,79.47,75.66,5.04,10%,"3,700,170,859"
COFORGE,NSE:COFORGE,52,PURE FIRST BREAK,0,08-12-2025,15-06-2026,4,1533.2,1465.21,4.64,10%,"16,738,489,686"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,4,743.2,711.03,4.52,10%,"5,181,922,696"
JASH,NSE:JASH,52,PURE FIRST BREAK,0,14-07-2025,15-06-2026,4,522.0,491.55,6.2,10%,"273,098,916"
MANBA,NSE:MANBA,52,PURE FIRST BREAK,0,03-11-2025,15-06-2026,4,135.92,130.93,3.81,10%,"28,869,544"
NACLIND,NSE:NACLIND,52,PURE FIRST BREAK,0,28-07-2025,15-06-2026,4,222.96,210.44,5.95,10%,"2,214,054,181"
PRITIKAUTO,NSE:PRITIKAUTO,52,PURE FIRST BREAK,0,14-07-2025,15-06-2026,4,17.98,16.53,8.77,10%,"23,652,384"
RELIGARE,NSE:RELIGARE,52,PURE FIRST BREAK,0,21-07-2025,15-06-2026,4,267.85,253.29,5.75,10%,"452,624,458"
EMSLIMITED,NSE:EMSLIMITED,52,PURE FIRST BREAK,0,21-07-2025,22-06-2026,3,440.35,421.35,4.51,10%,"1,857,950,726"
GEOJITFSL,NSE:GEOJITFSL,52,PURE FIRST BREAK,0,22-09-2025,22-06-2026,3,81.84,77.41,5.73,10%,"122,542,218"
INDOSTAR,NSE:INDOSTAR,52,PURE FIRST BREAK,0,14-07-2025,22-06-2026,3,270.95,254.22,6.58,10%,"112,448,861"
KICL,NSE:KICL,52,PURE FIRST BREAK,0,27-10-2025,22-06-2026,3,5471.5,5316.77,2.91,10%,"87,587,772"
MEDANTA,NSE:MEDANTA,52,PURE FIRST BREAK,0,04-08-2025,22-06-2026,3,1338.5,1288.91,3.85,10%,"340,740,606"
RPPL,NSE:RPPL,52,PURE FIRST BREAK,0,14-07-2025,22-06-2026,3,22.52,20.63,9.14,10%,"10,103,486"
SUNDRMFAST,NSE:SUNDRMFAST,52,PURE FIRST BREAK,0,15-09-2025,22-06-2026,3,960.0,927.41,3.51,10%,"173,591,040"
3MINDIA,NSE:3MINDIA,52,PURE FIRST BREAK,0,09-02-2026,29-06-2026,2,35930.0,34651.08,3.69,10%,"785,932,820"
AVG,NSE:AVG,52,PURE FIRST BREAK,0,14-07-2025,29-06-2026,2,205.97,199.14,3.43,10%,"18,303,318"
CHOICEIN,NSE:CHOICEIN,52,PURE FIRST BREAK,0,05-01-2026,29-06-2026,2,817.65,755.84,8.18,10%,"1,808,120,193"
COSMOFIRST,NSE:COSMOFIRST,52,PURE FIRST BREAK,0,14-07-2025,29-06-2026,2,827.15,825.13,0.25,10%,"112,861,312"
CUB,NSE:CUB,52,PURE FIRST BREAK,0,02-02-2026,29-06-2026,2,220.21,207.78,5.98,10%,"1,688,618,337"
DDEVPLSTIK,NSE:DDEVPLSTIK,52,PURE FIRST BREAK,0,06-10-2025,29-06-2026,2,291.35,281.01,3.68,10%,"216,935,718"
EMIL,NSE:EMIL,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,2,131.62,126.73,3.86,10%,"386,213,341"
ETERNAL,NSE:ETERNAL,52,PURE FIRST BREAK,0,13-10-2025,29-06-2026,2,294.8,281.54,4.71,10%,"43,636,833,087"
EVERESTIND,NSE:EVERESTIND,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,2,513.2,479.69,6.99,10%,"30,487,673"
GOLDTECH,NSE:GOLDTECH,52,PURE FIRST BREAK,0,28-07-2025,29-06-2026,2,59.56,58.05,2.6,10%,"12,207,239"
GPTHEALTH,NSE:GPTHEALTH,52,PURE FIRST BREAK,0,04-08-2025,29-06-2026,2,152.21,150.87,0.89,10%,"25,924,561"
HUHTAMAKI,NSE:HUHTAMAKI,52,PURE FIRST BREAK,0,20-10-2025,29-06-2026,2,222.29,203.29,9.35,10%,"121,314,764"
IKIO,NSE:IKIO,52,PURE FIRST BREAK,0,18-08-2025,29-06-2026,2,215.66,204.11,5.66,10%,"2,133,341,321"
JLHL,NSE:JLHL,52,PURE FIRST BREAK,0,27-10-2025,29-06-2026,2,1499.8,1444.57,3.82,10%,"131,374,985"
MAHLIFE,NSE:MAHLIFE,52,PURE FIRST BREAK,0,01-12-2025,29-06-2026,2,371.65,363.9,2.13,10%,"128,162,014"
SUMEETINDS,NSE:SUMEETINDS,52,PURE FIRST BREAK,0,20-10-2025,29-06-2026,2,32.98,30.61,7.74,10%,"1,108,094,180"
SUPRAJIT,NSE:SUPRAJIT,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,2,495.15,482.34,2.66,10%,"208,606,197"
THEJO,NSE:THEJO,52,PURE FIRST BREAK,0,28-07-2025,29-06-2026,2,1866.2,1840.26,1.41,10%,"14,716,853"
DBOL,NSE:DBOL,104,PURE FIRST BREAK,0,23-09-2024,30-03-2026,15,112.6,111.1,1.35,10%,"37,917,824"
