Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
JIOFIN,NSE:JIOFIN,DAILY,365d,261.95,261.43,0.2,51941.9,03-03-2025,198.34,520,130
ITC,NSE:ITC,DAILY,180d,286.95,282.54,1.56,33777.6,04-06-2026,275.05,62,12
TMPV,NSE:TMPV,DAILY,180d,349.8,347.29,0.72,24871.3,30-03-2026,291.88,128,23
GODIGIT,NSE:GODIGIT,DAILY,180d,280.4,279.15,0.45,23171.0,10-06-2026,290.8,56,14
MPHASIS,NSE:MPHASIS,DAILY,365d,2460.0,2425.37,1.43,21110.0,07-04-2025,1952.16,485,117
PINELABS,NSE:PINELABS,DAILY,180d,147.82,145.67,1.48,15753.0,27-05-2026,134.73,70,3
HDFCAMC,NSE:HDFCAMC,DAILY,180d,2562.0,2554.52,0.29,14920.9,30-03-2026,2158.39,128,9
ANGELONE,NSE:ANGELONE,DAILY,180d,299.2,298.23,0.32,10974.3,13-03-2026,206.48,145,2
BLS,NSE:BLS,DAILY,180d,255.63,251.84,1.51,8607.1,23-03-2026,218.9,135,21
SRF,NSE:SRF,DAILY,180d,2639.7,2619.06,0.79,6366.9,06-04-2026,2350.53,121,1
IRFC,NSE:IRFC,DAILY,180d,88.9,87.92,1.12,6281.4,08-07-2026,86.93,28,3
EMAMILTD,NSE:EMAMILTD,DAILY,180d,402.35,400.53,0.45,4836.5,08-06-2026,376.4,58,1
HUDCO,NSE:HUDCO,DAILY,180d,202.84,200.44,1.2,4396.6,30-03-2026,157.99,128,5
STAR,NSE:STAR,DAILY,180d,970.4,955.6,1.55,3637.9,29-01-2026,765.07,188,0
GICRE,NSE:GICRE,DAILY,180d,359.65,355.52,1.16,2324.1,17-06-2026,346.7,49,0
NATCOPHARM,NSE:NATCOPHARM,DAILY,180d,917.55,906.91,1.17,2202.4,12-11-2025,794.41,266,20
AFFLE,NSE:AFFLE,DAILY,365d,1662.6,1632.5,1.84,1925.3,07-04-2025,1246.0,485,135
NSLNISP,NSE:NSLNISP,DAILY,180d,44.77,44.42,0.79,1817.4,30-03-2026,33.01,128,29
SKMEGGPROD,NSE:SKMEGGPROD,DAILY,180d,230.74,229.95,0.34,1720.0,09-03-2026,143.1,149,1
HDBFS,NSE:HDBFS,DAILY,180d,675.25,674.11,0.17,1684.9,30-03-2026,553.72,128,9
ELITECON,NSE:ELITECON,DAILY,180d,19.0,18.86,0.76,1540.2,08-07-2026,23.25,28,19
ASIANTILES,NSE:ASIANTILES,DAILY,180d,53.39,52.87,0.99,1336.6,07-07-2026,48.41,29,5
WONDERLA,NSE:WONDERLA,DAILY,180d,503.05,494.41,1.75,1143.4,02-03-2026,455.0,156,60
SAIPARENT,NSE:SAIPARENT,DAILY,180d,516.1,514.86,0.24,1097.1,02-04-2026,400.0,125,0
FEDFINA,NSE:FEDFINA,DAILY,180d,149.31,148.06,0.84,908.5,09-03-2026,119.07,149,1
BOMDYEING,NSE:BOMDYEING,DAILY,180d,120.04,119.58,0.38,625.9,30-03-2026,91.69,128,1
SHANTIGOLD,NSE:SHANTIGOLD,DAILY,180d,216.83,213.84,1.4,563.9,30-03-2026,155.0,128,11
VISHNU,NSE:VISHNU,DAILY,180d,588.8,581.47,1.26,410.2,09-03-2026,471.2,149,1
FRONTSP,NSE:FRONTSP,DAILY,180d,1405.4,1388.53,1.21,347.4,19-06-2026,1376.0,47,12
SJLOGISTIC,NSE:SJLOGISTIC,DAILY,180d,318.2,315.21,0.95,164.7,30-03-2026,225.35,127,6
ANNAPURNA,NSE:ANNAPURNA,DAILY,180d,134.0,131.85,1.63,129.0,18-05-2026,127.55,78,22
3BBLACKBIO,NSE:3BBLACKBIO,DAILY,180d,1204.0,1184.95,1.61,107.0,02-06-2026,1085.0,64,4
FEDDERSHOL,NSE:FEDDERSHOL,DAILY,180d,42.28,42.08,0.48,104.6,27-05-2026,32.06,70,2
