Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
ANTHEM,NSE:ANTHEM,52,PURE FIRST BREAK,0,15-09-2025,06-04-2026,17,825.65,756.38,9.16,10%,"3,073,620,099"
ALKYLAMINE,NSE:ALKYLAMINE,52,PURE FIRST BREAK,0,04-08-2025,04-05-2026,13,1921.9,1773.94,8.34,10%,"3,708,384,895"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,13,2755.0,2635.52,4.53,10%,"11,415,414,130"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,04-08-2025,11-05-2026,12,102.15,94.96,7.57,10%,"89,811,099"
PAGEIND,NSE:PAGEIND,52,PURE FIRST BREAK,0,25-08-2025,18-05-2026,11,40050.0,38929.58,2.88,10%,"2,664,326,250"
SAMMAANCAP,NSE:SAMMAANCAP,52,PURE FIRST BREAK,0,03-11-2025,18-05-2026,11,167.22,164.08,1.91,10%,"6,534,307,664"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,9,1023.0,934.7,9.45,10%,"801,176,772"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,9,1511.0,1489.9,1.42,10%,"179,326,991"
RELIABLE,NSE:RELIABLE,52,PURE FIRST BREAK,0,02-02-2026,01-06-2026,9,145.64,142.97,1.87,10%,"22,725,083"
JASH,NSE:JASH,52,PURE FIRST BREAK,0,04-08-2025,08-06-2026,8,493.0,483.64,1.94,10%,"133,912,111"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,7,736.0,713.48,3.16,10%,"7,328,463,872"
KRONOX,NSE:KRONOX,52,PURE FIRST BREAK,0,15-09-2025,15-06-2026,7,166.78,153.26,8.82,10%,"227,010,928"
TCPLPACK,NSE:TCPLPACK,52,PURE FIRST BREAK,0,20-10-2025,15-06-2026,7,3131.4,2997.03,4.48,10%,"36,734,452"
IGARASHI,NSE:IGARASHI,52,PURE FIRST BREAK,0,04-08-2025,22-06-2026,6,493.8,486.84,1.43,10%,"7,778,520,114"
