Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,121,46.93,45.14,3.97,10%,"26,107,159"
MRP,NYSE:MRP,180,PURE FIRST BREAK,0,17-04-2026,05-06-2026,70,30.33,28.62,5.97,10%,"27,381,924"
FBIN,NYSE:FBIN,180,PURE FIRST BREAK,0,23-02-2026,11-06-2026,64,47.84,44.78,6.84,10%,"77,687,376"
NGVT,NYSE:NGVT,180,PURE FIRST BREAK,0,06-05-2026,11-06-2026,64,76.77,73.67,4.21,10%,"14,271,542"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,24-02-2026,16-06-2026,59,276.11,271.8,1.58,10%,"211,859,192"
KMI,NYSE:KMI,180,PURE FIRST BREAK,0,19-05-2026,23-06-2026,52,32.82,32.2,1.92,10%,"284,303,247"
QGEN,NYSE:QGEN,180,PURE FIRST BREAK,0,27-02-2026,24-06-2026,51,42.95,39.58,8.51,10%,"157,789,713"
RSG,NYSE:RSG,180,PURE FIRST BREAK,0,03-03-2026,24-06-2026,51,214.71,214.09,0.29,10%,"222,976,342"
MDT,NYSE:MDT,180,PURE FIRST BREAK,0,23-02-2026,02-07-2026,43,91.27,83.56,9.22,10%,"752,539,376"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,39,313.82,301.68,4.03,10%,"478,324,455"
DG,NYSE:DG,180,PURE FIRST BREAK,0,26-02-2026,13-07-2026,32,123.28,120.87,1.99,10%,"191,540,134"
FLXR,NYSE:FLXR,180,PURE FIRST BREAK,0,06-07-2026,15-07-2026,30,38.98,38.98,0.01,10%,"17,763,186"
FNB,NYSE:FNB,180,PURE FIRST BREAK,0,02-07-2026,15-07-2026,30,19.48,19.17,1.59,10%,"34,442,587"
CAG,NYSE:CAG,180,PURE FIRST BREAK,0,02-03-2026,20-07-2026,25,15.62,14.53,7.49,10%,"141,639,035"
NOV,NYSE:NOV,180,PURE FIRST BREAK,0,04-06-2026,22-07-2026,23,21.14,19.95,5.97,10%,"49,596,553"
TTE,NYSE:TTE,180,PURE FIRST BREAK,0,18-05-2026,22-07-2026,23,88.33,84.64,4.36,10%,"114,325,521"
CLF,NYSE:CLF,180,PURE FIRST BREAK,0,02-06-2026,24-07-2026,21,11.9,11.76,1.19,10%,"104,445,107"
ICE,NYSE:ICE,180,PURE FIRST BREAK,0,08-04-2026,24-07-2026,21,154.73,147.17,5.14,10%,"252,828,813"
LMT,NYSE:LMT,180,PURE FIRST BREAK,0,02-03-2026,24-07-2026,21,608.68,572.35,6.35,10%,"524,743,022"
PVH,NYSE:PVH,180,PURE FIRST BREAK,0,03-06-2026,24-07-2026,21,82.47,82.09,0.46,10%,"69,134,602"
T,NYSE:T,180,PURE FIRST BREAK,0,24-03-2026,24-07-2026,21,24.89,23.81,4.52,10%,"674,598,631"
ARLO,NYSE:ARLO,180,PURE FIRST BREAK,0,08-05-2026,27-07-2026,18,14.33,13.97,2.54,10%,"11,753,466"
JBS,NYSE:JBS,180,PURE FIRST BREAK,0,10-04-2026,27-07-2026,18,13.65,13.41,1.78,10%,"65,783,443"
AVY,NYSE:AVY,180,PURE FIRST BREAK,0,24-02-2026,28-07-2026,17,178.93,168.64,6.1,10%,"125,716,213"
G,NYSE:G,180,PURE FIRST BREAK,0,05-03-2026,28-07-2026,17,33.86,33.83,0.08,10%,"53,072,165"
FSS,NYSE:FSS,180,PURE FIRST BREAK,0,06-07-2026,30-07-2026,15,125.85,124.57,1.02,10%,"39,642,750"
APH,NYSE:APH,180,PURE FIRST BREAK,0,30-06-2026,03-08-2026,11,167.11,164.7,1.46,10%,"748,970,312"
EW,NYSE:EW,180,PURE FIRST BREAK,0,07-07-2026,03-08-2026,11,91.6,89.21,2.68,10%,"261,655,396"
AYI,NYSE:AYI,180,PURE FIRST BREAK,0,30-06-2026,04-08-2026,10,358.43,351.19,2.06,10%,"80,539,219"
KEYS,NYSE:KEYS,180,PURE FIRST BREAK,0,22-06-2026,04-08-2026,10,357.82,337.57,6.0,10%,"331,627,583"
NVT,NYSE:NVT,180,PURE FIRST BREAK,0,22-06-2026,04-08-2026,10,171.39,162.63,5.39,10%,"238,831,964"
PFE,NYSE:PFE,180,PURE FIRST BREAK,0,02-04-2026,04-08-2026,10,26.79,25.47,5.17,10%,"620,665,383"
SXI,NYSE:SXI,180,PURE FIRST BREAK,0,30-06-2026,04-08-2026,10,331.18,324.72,1.99,10%,"30,302,969"
WFG,NYSE:WFG,180,PURE FIRST BREAK,0,16-07-2026,04-08-2026,10,70.76,70.08,0.98,10%,"22,388,465"
DIS,NYSE:DIS,180,PURE FIRST BREAK,0,07-05-2026,05-08-2026,9,106.85,101.08,5.71,10%,"873,210,243"
WTS,NYSE:WTS,180,PURE FIRST BREAK,0,30-06-2026,05-08-2026,9,384.42,368.34,4.37,10%,"46,707,032"
HCC,NYSE:HCC,180,PURE FIRST BREAK,0,02-06-2026,06-08-2026,8,98.2,89.72,9.45,10%,"52,536,998"
LDOS,NYSE:LDOS,180,PURE FIRST BREAK,0,03-03-2026,06-08-2026,8,143.83,132.57,8.49,10%,"200,254,512"
APD,NYSE:APD,180,PURE FIRST BREAK,0,06-07-2026,07-08-2026,7,308.97,302.47,2.15,10%,"146,606,266"
CVNA,NYSE:CVNA,180,PURE FIRST BREAK,0,30-04-2026,07-08-2026,7,75.59,70.49,7.24,10%,"413,484,839"
GD,NYSE:GD,180,PURE FIRST BREAK,0,29-07-2026,07-08-2026,7,395.78,391.65,1.05,10%,"186,926,893"
HASI,NYSE:HASI,180,PURE FIRST BREAK,0,08-05-2026,07-08-2026,7,42.12,39.65,6.24,10%,"22,374,143"
AR,NYSE:AR,180,PURE FIRST BREAK,0,30-03-2026,10-08-2026,4,37.37,37.09,0.76,10%,"119,008,499"
FDX,NYSE:FDX,180,PURE FIRST BREAK,0,15-06-2026,10-08-2026,4,334.64,323.23,3.53,10%,"440,018,155"
NE,NYSE:NE,180,PURE FIRST BREAK,0,20-05-2026,10-08-2026,4,45.1,43.12,4.6,10%,"40,783,929"
OVV,NYSE:OVV,180,PURE FIRST BREAK,0,24-07-2026,10-08-2026,4,63.02,62.62,0.64,10%,"203,245,803"
RIG,NYSE:RIG,180,PURE FIRST BREAK,0,19-05-2026,10-08-2026,4,5.76,5.67,1.67,10%,"269,646,923"
VAL,NYSE:VAL,180,PURE FIRST BREAK,0,18-05-2026,10-08-2026,4,85.62,85.33,0.34,10%,"149,329,847"
APG,NYSE:APG,180,PURE FIRST BREAK,0,30-04-2026,11-08-2026,3,43.95,42.79,2.71,10%,"66,645,781"
FLOC,NYSE:FLOC,180,PURE FIRST BREAK,0,20-05-2026,11-08-2026,3,23.73,22.67,4.69,10%,"12,593,511"
INVX,NYSE:INVX,180,PURE FIRST BREAK,0,04-08-2026,11-08-2026,3,31.24,30.31,3.07,10%,"18,181,680"
JBL,NYSE:JBL,180,PURE FIRST BREAK,0,17-06-2026,11-08-2026,3,363.1,354.1,2.54,10%,"381,073,456"
RAL,NYSE:RAL,180,PURE FIRST BREAK,0,25-06-2026,11-08-2026,3,72.29,70.67,2.3,10%,"39,535,402"
SW,NYSE:SW,180,PURE FIRST BREAK,0,28-07-2026,11-08-2026,3,49.25,48.79,0.94,10%,"242,196,725"
AWR,NYSE:AWR,180,PURE FIRST BREAK,0,20-07-2026,12-08-2026,2,88.97,87.85,1.28,10%,"16,103,570"
EME,NYSE:EME,180,PURE FIRST BREAK,0,06-05-2026,12-08-2026,2,836.29,830.99,0.64,10%,"241,604,175"
FHN,NYSE:FHN,180,PURE FIRST BREAK,0,05-08-2026,12-08-2026,2,26.22,25.9,1.24,10%,"90,356,740"
MUFG,NYSE:MUFG,180,PURE FIRST BREAK,0,27-07-2026,12-08-2026,2,23.06,22.67,1.74,10%,"61,745,455"
PNC,NYSE:PNC,180,PURE FIRST BREAK,0,06-08-2026,12-08-2026,2,256.97,255.42,0.61,10%,"201,798,542"
RYZ,NYSE:RYZ,180,PURE FIRST BREAK,0,28-07-2026,12-08-2026,2,28.94,28.6,1.2,10%,"14,869,372"
TD,NYSE:TD,180,PURE FIRST BREAK,0,15-07-2026,12-08-2026,2,124.36,122.09,1.86,10%,"172,748,477"
TFC,NYSE:TFC,365,PURE FIRST BREAK,0,06-02-2026,08-04-2026,128,53.1,49.21,7.91,10%,"325,545,471"
MC,NYSE:MC,365,PURE FIRST BREAK,0,16-01-2026,09-04-2026,127,68.41,64.34,6.33,10%,"46,094,660"
DX,NYSE:DX,365,PURE FIRST BREAK,0,28-01-2026,17-04-2026,119,13.06,12.85,1.6,10%,"38,775,141"
NVO,NYSE:NVO,365,PURE FIRST BREAK,0,23-01-2026,01-05-2026,105,45.89,44.08,4.1,10%,"497,277,800"
DEI,NYSE:DEI,365,PURE FIRST BREAK,0,11-09-2025,05-05-2026,101,11.68,11.42,2.3,10%,"17,476,784"
