Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
RELIANCE,NSE:RELIANCE,DAILY,180d,1307.8,1296.17,0.9,110019.2,11-06-2026,1253.2,29,2
MARUTI,NSE:MARUTI,DAILY,365d,13854.0,13847.32,0.05,59593.5,07-04-2025,10941.03,459,75
KOTAKBANK,NSE:KOTAKBANK,DAILY,180d,377.6,377.36,0.06,58410.7,02-04-2026,345.5,99,2
TATASTEEL,NSE:TATASTEEL,DAILY,180d,191.19,191.07,0.06,44252.0,09-12-2025,156.83,213,11
HDFCLIFE,NSE:HDFCLIFE,DAILY,180d,567.7,565.33,0.42,34851.9,11-06-2026,541.07,29,2
HAVELLS,NSE:HAVELLS,DAILY,180d,1188.4,1165.32,1.98,28648.3,02-06-2026,1123.6,38,1
WIPRO,NSE:WIPRO,DAILY,180d,175.46,173.92,0.89,28511.5,11-06-2026,175.83,29,7
ZEEL,NSE:ZEEL,DAILY,180d,97.47,96.3,1.21,20650.3,23-03-2026,68.0,109,0
RECLTD,NSE:RECLTD,DAILY,180d,351.95,347.17,1.38,14159.7,30-03-2026,304.05,102,19
PFC,NSE:PFC,DAILY,180d,406.5,403.98,0.62,13904.7,18-12-2025,324.11,204,1
IREDA,NSE:IREDA,DAILY,180d,126.4,126.07,0.26,8582.7,30-03-2026,108.08,102,11
DABUR,NSE:DABUR,DAILY,180d,443.5,436.62,1.57,7562.8,02-04-2026,403.35,99,22
KEC,NSE:KEC,DAILY,180d,504.85,501.83,0.6,6938.9,19-05-2026,466.0,52,3
BLUESTARCO,NSE:BLUESTARCO,DAILY,180d,1662.0,1649.57,0.75,6365.8,02-04-2026,1450.0,99,19
SCI,NSE:SCI,DAILY,180d,284.9,281.99,1.03,6170.4,27-01-2026,193.0,164,18
PATANJALI,NSE:PATANJALI,DAILY,180d,413.8,412.89,0.22,5561.2,05-06-2026,408.15,35,6
CRISIL,NSE:CRISIL,DAILY,180d,4097.4,4025.27,1.79,4846.2,02-04-2026,3678.37,99,15
BHARATCOAL,NSE:BHARATCOAL,DAILY,180d,37.56,37.24,0.87,4076.4,30-03-2026,29.74,102,3
GOCOLORS,NSE:GOCOLORS,DAILY,180d,340.05,336.59,1.03,3868.3,17-03-2026,237.05,115,3
ICRA,NSE:ICRA,DAILY,180d,5298.0,5215.69,1.58,3409.0,02-04-2026,4965.5,99,12
RKFORGE,NSE:RKFORGE,DAILY,180d,565.3,556.31,1.62,2911.2,23-03-2026,459.41,109,2
JAINREC,NSE:JAINREC,DAILY,180d,340.65,338.19,0.73,2671.0,11-06-2026,302.0,29,0
DEEPAKNTR,NSE:DEEPAKNTR,DAILY,180d,1644.0,1623.61,1.26,2518.9,30-03-2026,1280.0,102,10
DBCORP,NSE:DBCORP,DAILY,180d,203.54,201.9,0.81,2295.3,30-03-2026,184.51,102,40
DEVYANI,NSE:DEVYANI,DAILY,180d,112.47,110.4,1.88,2246.0,02-04-2026,91.55,99,3
SUPRIYA,NSE:SUPRIYA,DAILY,180d,854.6,840.82,1.64,2034.7,24-03-2026,545.5,108,1
GMBREW,NSE:GMBREW,DAILY,180d,939.85,939.74,0.01,1867.4,08-06-2026,860.0,32,0
JSWDULUX,NSE:JSWDULUX,DAILY,180d,2933.5,2905.58,0.96,1789.9,09-03-2026,2626.09,123,0
PROTEAN,NSE:PROTEAN,DAILY,180d,588.7,580.27,1.45,1681.4,30-03-2026,444.0,102,2
CHAMBLFERT,NSE:CHAMBLFERT,DAILY,180d,453.75,447.97,1.29,1583.7,16-03-2026,399.75,116,3
CASTROLIND,NSE:CASTROLIND,DAILY,180d,183.84,181.06,1.54,1535.8,24-03-2026,170.1,108,0
JKPAPER,NSE:JKPAPER,DAILY,180d,365.4,362.32,0.85,1472.1,30-03-2026,304.85,102,28
BFUTILITIE,NSE:BFUTILITIE,DAILY,180d,578.8,578.64,0.03,1343.1,30-03-2026,368.7,102,4
GODIGIT,NSE:GODIGIT,DAILY,180d,312.0,306.96,1.64,1146.1,10-06-2026,290.8,30,2
SVLL,NSE:SVLL,DAILY,180d,669.6,658.46,1.69,890.6,30-03-2026,445.15,102,2
JSWHL,NSE:JSWHL,DAILY,730d,11248.0,11032.69,1.95,841.8,31-10-2023,4410.0,983,0
TARC,NSE:TARC,DAILY,180d,124.21,124.03,0.14,815.1,30-03-2026,109.1,102,9
BERGEPAINT,NSE:BERGEPAINT,DAILY,180d,497.25,490.53,1.37,775.2,16-03-2026,391.1,116,0
VIPIND,NSE:VIPIND,DAILY,180d,303.0,301.94,0.35,736.6,18-05-2026,278.25,53,1
ORIENTELEC,NSE:ORIENTELEC,DAILY,180d,178.45,176.25,1.25,713.6,30-03-2026,148.4,102,5
HERITGFOOD,NSE:HERITGFOOD,DAILY,180d,336.65,331.26,1.63,675.7,30-03-2026,292.55,102,30
