Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SGOV,NYSE:SGOV,DAILY,180d,100.4,99.21,1.2,38089.3,13-10-2025,97.79,261,0
NKE,NYSE:NKE,DAILY,180d,43.06,42.6,1.07,34506.3,18-05-2026,40.98,44,7
APO,NYSE:APO,DAILY,180d,118.44,116.61,1.57,10667.1,03-03-2026,99.14,120,1
UBER,NYSE:UBER,DAILY,180d,72.66,71.98,0.95,9177.0,27-03-2026,68.46,96,9
VST,NYSE:VST,DAILY,180d,153.16,151.58,1.04,7791.9,19-05-2026,132.47,43,5
SPOT,NYSE:SPOT,DAILY,180d,472.48,464.95,1.62,7756.2,05-02-2026,405.0,146,17
MDT,NYSE:MDT,DAILY,180d,79.2,78.3,1.15,6051.1,02-06-2026,72.65,29,1
SHV,NYSE:SHV,DAILY,180d,110.04,108.73,1.21,5056.1,13-10-2025,107.28,261,0
MLM,NYSE:MLM,DAILY,180d,579.24,569.62,1.69,4537.2,19-05-2026,524.63,43,1
MSI,NYSE:MSI,DAILY,180d,418.94,411.63,1.78,3973.2,16-12-2025,357.34,197,17
TMHC,NYSE:TMHC,DAILY,180d,71.73,70.7,1.46,3708.5,19-05-2026,54.15,43,0
BP,NYSE:BP,DAILY,365d,36.15,35.48,1.88,3414.8,09-04-2025,23.55,448,0
ARES,NYSE:ARES,DAILY,180d,113.63,111.47,1.93,2764.2,12-03-2026,93.57,111,3
BJ,NYSE:BJ,DAILY,180d,86.56,86.36,0.24,2058.7,27-05-2026,83.65,35,4
ONON,NYSE:ONON,DAILY,180d,35.56,35.13,1.22,1984.7,27-03-2026,31.41,96,0
GTLS,NYSE:GTLS,DAILY,180d,208.68,206.66,0.98,1941.8,04-11-2025,198.91,239,2
GWRE,NYSE:GWRE,DAILY,180d,127.65,126.04,1.28,1754.7,10-04-2026,115.57,82,16
FE,NYSE:FE,DAILY,180d,47.07,46.72,0.76,1574.6,16-12-2025,43.02,197,30
WPC,NYSE:WPC,DAILY,180d,70.81,69.52,1.86,1527.4,22-12-2025,61.29,191,8
NYT,NYSE:NYT,DAILY,180d,71.79,71.42,0.51,1336.7,14-10-2025,53.81,260,5
FLS,NYSE:FLS,DAILY,180d,72.38,72.02,0.5,1309.8,15-10-2025,48.66,259,12
LCII,NYSE:LCII,DAILY,365d,102.04,102.02,0.02,1272.8,09-04-2025,68.54,448,17
SU,NYSE:SU,DAILY,180d,53.57,53.32,0.48,1142.4,21-10-2025,37.23,253,1
SF,NYSE:SF,DAILY,180d,71.85,70.44,2.0,1140.3,02-06-2026,68.39,29,3
CMC,NYSE:CMC,DAILY,365d,61.21,60.51,1.16,1135.8,04-04-2025,37.46,453,1
HII,NYSE:HII,DAILY,365d,278.97,277.18,0.64,1103.0,06-02-2025,154.1,510,2
GGG,NYSE:GGG,DAILY,180d,74.82,74.41,0.55,1056.1,01-06-2026,73.56,30,1
SIG,NYSE:SIG,DAILY,180d,84.66,83.35,1.58,958.5,19-05-2026,71.62,43,0
GPOR,NYSE:GPOR,DAILY,180d,165.41,163.55,1.14,917.7,02-06-2026,165.25,29,8
BN,NYSE:BN,DAILY,365d,42.77,42.68,0.2,909.2,09-04-2025,28.86,448,24
WHR,NYSE:WHR,DAILY,180d,40.17,39.48,1.74,704.3,19-05-2026,38.38,43,10
BOND,NYSE:BOND,DAILY,180d,91.64,91.19,0.5,688.9,19-05-2026,89.75,43,0
ESAB,NYSE:ESAB,DAILY,180d,93.69,92.5,1.29,635.0,20-05-2026,83.17,42,3
ALV,NYSE:ALV,DAILY,365d,113.34,111.53,1.62,627.7,08-04-2025,73.33,449,29
FCN,NYSE:FCN,DAILY,180d,149.39,147.19,1.5,587.6,13-05-2026,140.84,49,5
THO,NYSE:THO,DAILY,180d,75.11,73.88,1.66,568.9,19-05-2026,70.07,43,4
PRGO,NYSE:PRGO,DAILY,180d,10.31,10.29,0.18,561.3,20-03-2026,9.0,103,8
PSN,NYSE:PSN,DAILY,180d,53.16,52.73,0.81,523.9,11-05-2026,48.23,51,8
AI,NYSE:AI,DAILY,180d,9.43,9.37,0.64,500.5,30-03-2026,7.68,93,5
NHI,NYSE:NHI,DAILY,180d,76.55,75.81,0.97,476.4,13-10-2025,69.04,261,45
SAM,NYSE:SAM,DAILY,180d,177.63,174.52,1.78,387.2,02-06-2026,162.31,29,0
CALX,NYSE:CALX,DAILY,180d,37.09,36.99,0.28,386.9,21-05-2026,37.57,41,6
WTM,NYSE:WTM,DAILY,365d,2064.04,2031.18,1.62,363.3,01-10-2025,1647.25,273,6
WTM,NYSE:WTM,DAILY,180d,2064.04,2058.26,0.28,363.3,17-10-2025,1829.3,257,13
FIGS,NYSE:FIGS,DAILY,365d,10.05,9.99,0.57,316.1,08-04-2025,3.57,449,1
JBND,NYSE:JBND,DAILY,180d,53.24,52.96,0.53,315.9,19-05-2026,52.32,43,0
JBND,NYSE:JBND,DAILY,365d,53.24,52.31,1.78,315.9,16-01-2025,48.7,531,2
AQN,NYSE:AQN,DAILY,365d,5.45,5.37,1.55,310.3,16-01-2025,4.05,531,2
WOR,NYSE:WOR,DAILY,180d,54.01,53.79,0.4,276.3,25-03-2026,44.87,98,2
DNOW,NYSE:DNOW,DAILY,180d,12.8,12.6,1.58,275.2,17-03-2026,10.94,106,0
BCC,NYSE:BCC,DAILY,180d,75.48,74.53,1.27,238.7,19-11-2025,64.57,224,32
BRSL,NYSE:BRSL,DAILY,180d,11.14,10.99,1.33,230.3,20-05-2026,10.2,42,4
CPK,NYSE:CPK,DAILY,180d,122.76,121.2,1.29,221.8,01-06-2026,118.42,30,1
GNL,NYSE:GNL,DAILY,180d,8.93,8.87,0.63,185.8,03-11-2025,7.18,240,0
ARLO,NYSE:ARLO,DAILY,180d,13.55,13.34,1.57,182.0,12-02-2026,11.05,139,19
ATKR,NYSE:ATKR,DAILY,180d,72.43,72.28,0.2,175.4,19-03-2026,53.51,104,0
EPAC,NYSE:EPAC,DAILY,180d,34.94,34.61,0.97,140.1,01-06-2026,32.35,30,0
NEXA,NYSE:NEXA,DAILY,180d,12.04,11.99,0.45,112.4,13-10-2025,5.05,261,9
BUXX,NYSE:BUXX,DAILY,180d,20.19,19.93,1.32,106.4,14-10-2025,19.62,260,1
PMMF,NYSE:PMMF,DAILY,180d,100.25,99.24,1.02,104.7,13-10-2025,97.68,261,0
PMMF,NYSE:PMMF,DAILY,365d,100.25,98.35,1.93,104.7,06-02-2025,94.91,510,1
